"site","cushion","code","sample","cushion.open","diam1","diam2","area","Azorella aretioides","Azorella pedunculata/corymbosa","Baccharis caespitosa","Bartsia stricta","Cerastium floccosum","Chuqiragua jussieui","Draba aretioides","Ephedra americana","Erigeron ecuadoriensis","Gentiana sedifolia","Huperzia crassa","Hypochaeris sessiliflora","Lucilia kunthiana","Lupinus microphyllus","Luzula racemosa","Myrosmodes sp","Nototriche hartwegii","Oreomyrrhis andicola","Pernettya prostrata","Ranunculus peruvianus","Senecio canescens","Senecio nivalis","Poaceae spp","Valeriana alypifolia","Valeriana rigida","Werneria nubigena","Werneria pumila","Xenophyllum rigidum","moss (Moss spp)"
"Ecuador2","Azorella aretioides",4,1,"cushion",67,67,,,,,,,,,,,,8,3,,,2,,,,,,,4,11,,,,1,,1
"Ecuador2","Azorella aretioides",4,2,"cushion",63,63,,,,,,,,,,,2,,1,,3,,,,,,,,6,32,,,,,,5
"Ecuador2","Azorella aretioides",4,3,"cushion",49,49,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,1
"Ecuador2","Azorella aretioides",4,4,"cushion",37,37,,,,1,1,,,,,5,1,,2,,1,1,,,,,,,,10,,2,,,,
"Ecuador2","Azorella aretioides",4,5,"cushion",33,33,,,,,,1,,,,,,,4,,,,,,,,,,,3,,,,,,
"Ecuador2","Azorella aretioides",4,6,"cushion",53,53,,,,,,,,,,,2,,4,,,,,,,,,,23,4,,,,,,3
"Ecuador2","Azorella aretioides",4,7,"cushion",39,39,,,,,,,,,,,,,1,,,,,,,,,,,9,,,,,,2
"Ecuador2","Azorella aretioides",4,8,"cushion",25,25,,,2,4,,,,,,,,5,,,,,,,,,,,,0,,,,,,1
"Ecuador2","Azorella aretioides",4,9,"cushion",50,50,,,1,9,,3,,,,1,,,1,,3,,,,,,,,,12,,,,,,
"Ecuador2","Azorella aretioides",4,10,"cushion",30,30,,,,2,,1,,,,4,,,,,,,1,,,,,,7,0,,,,,,
"Ecuador2","Azorella aretioides",4,11,"cushion",78,78,,,,6,,1,,,,,,2,3,,,10,5,,,,,,,14,,,,,,1
"Ecuador2","Azorella aretioides",4,12,"cushion",11,11,,,,4,,2,,,,,,,,,,,,,,,,,,0,,,,,,1
"Ecuador2","Azorella aretioides",4,13,"cushion",49,49,,,2,6,,6,,,,1,,,3,,,2,,,,,,,,17,,,,,3,2
"Ecuador2","Azorella aretioides",4,14,"cushion",23,23,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,5,
"Ecuador2","Azorella aretioides",4,15,"cushion",54,54,,,,,,,,,,,,,,,1,,1,,,,,,3,7,,,,,,
"Ecuador2","Azorella aretioides",4,16,"cushion",56,56,,,,,,,,,,,,,1,,5,,,,,,,,,10,,,,,,
"Ecuador2","Azorella aretioides",4,17,"cushion",59,59,,,,13,,,,,,2,,8,1,,1,,10,,,,,,60,12,,,,,,
"Ecuador2","Azorella aretioides",4,18,"cushion",57,57,,,,6,,,,1,,,,,,,,,,,,,,,1,5,,,,,,1
"Ecuador2","Azorella aretioides",4,19,"cushion",43,43,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,20,"cushion",27,27,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,21,"cushion",59,59,,,,2,,,,,,,3,,1,,,,,,,,,,,5,,,,,,
"Ecuador2","Azorella aretioides",4,22,"cushion",23,23,,,,,,1,,2,,,,,,,,2,,,,,,,,2,,,,,,
"Ecuador2","Azorella aretioides",4,23,"cushion",44,44,,,1,,,,,5,,,3,2,4,,,3,,,,,,,,22,,,,,,3
"Ecuador2","Azorella aretioides",4,24,"cushion",19,19,,,,3,,,,,,,,,1,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,25,"cushion",54,54,,,,8,,,,,,,,,,,,,2,,,,,,,2,,,,,,
"Ecuador2","Azorella aretioides",4,26,"cushion",24,24,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,27,"cushion",52,52,,,,,,,,,,,,20,1,,5,,,,,,,,,10,,,,,,2
"Ecuador2","Azorella aretioides",4,28,"cushion",28,28,,,,,,,,,,,1,,,,,,3,,,,,,,3,,,,,,
"Ecuador2","Azorella aretioides",4,29,"cushion",28,28,,,,1,,,,,,,5,,,,,1,,,,,,,,5,,,,,3,
"Ecuador2","Azorella aretioides",4,30,"cushion",52,52,,,,,,,,,,,2,,2,,,,3,,,,,,,5,,,,,,
"Ecuador2","Azorella aretioides",4,31,"cushion",38,38,,,,1,2,,,,,,,,1,,,3,4,,,,,,,3,,,,,,
"Ecuador2","Azorella aretioides",4,32,"cushion",54,54,,,,4,,,,,,,,,2,,,,1,,,,,,,6,,,,,,
"Ecuador2","Azorella aretioides",4,33,"cushion",58,58,,,,6,,,,,,,3,,3,,,,3,,,,,,,4,,,,,1,
"Ecuador2","Azorella aretioides",4,34,"cushion",26,26,,,,2,,,,,,,,,,,,,1,,,,,,,6,,,,,,1
"Ecuador2","Azorella aretioides",4,35,"cushion",56,56,,,,,,3,,,,,,,1,,1,2,,,,,4,,,24,,,,,,3
"Ecuador2","Azorella aretioides",4,36,"cushion",19,19,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
"Ecuador2","Azorella aretioides",4,37,"cushion",26,26,,,,,,,,,,1,,,3,,1,1,1,,,,1,,,11,,,,,,
"Ecuador2","Azorella aretioides",4,38,"cushion",45,45,,,,1,,,,,,,,,2,1,3,,1,,,,,,,14,,,1,,2,3
"Ecuador2","Azorella aretioides",4,39,"cushion",52,52,,,,4,,,,,,,,,5,,,,1,,,,,,,11,,,3,,,
"Ecuador2","Azorella aretioides",4,40,"cushion",25,25,,,,3,,,,,,2,,,3,,2,,,,,,,,,7,,,,,,
"Ecuador2","Azorella aretioides",4,41,"cushion",22,22,,,,,,,,,,2,,,,,,4,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,42,"cushion",28,28,,,,,,1,,,,1,,,3,,,3,,,,,,,,9,,,,,,
"Ecuador2","Azorella aretioides",4,43,"cushion",38,38,,,,,,,,,,1,,27,4,,,2,,,,,5,,1,8,,,,,,
"Ecuador2","Azorella aretioides",4,44,"cushion",43,43,,,,1,,,,,,,,,2,,,8,,,,,,,,16,,,,,,
"Ecuador2","Azorella aretioides",4,45,"cushion",54,54,,,,,,1,,,,,,31,3,,,,,,,,,,,22,,,1,,,
"Ecuador2","Azorella aretioides",4,46,"cushion",40,40,,,,3,2,1,,,,,,,4,,,,,,,9,,,,7,,,,,,
"Ecuador2","Azorella aretioides",4,47,"cushion",29,29,,,,1,,3,,,,,,,,,,,,,,,,,,5,,,2,,,
"Ecuador2","Azorella aretioides",4,48,"cushion",65,65,,,,14,,3,,,,,,,,,,1,2,,,,,,,10,,,,,,
"Ecuador2","Azorella aretioides",4,49,"cushion",38,38,,,,,,,,,,1,,,1,,,,,,,,,,,11,,,,,,
"Ecuador2","Azorella aretioides",4,50,"cushion",53,53,,,,,,2,,,,,,4,,,,,,,,13,,,,11,,,,,,
"Ecuador2","Azorella aretioides",4,51,"cushion",36,36,,,,3,,1,,,,,,,2,,,,,,,,,,,13,,,,,,
"Ecuador2","Azorella aretioides",4,52,"cushion",28,28,,,,,,,,,,2,,,1,,,,,,,,,,,3,,,,,,
"Ecuador2","Azorella aretioides",4,53,"cushion",38,38,,,,,,,,,,,,10,,,,,2,,,,,,,1,,,7,,1,
"Ecuador2","Azorella aretioides",4,54,"cushion",16,16,,,,1,,1,,,,,,,,,,,,,,,,,,2,,,,,,
"Ecuador2","Azorella aretioides",4,55,"cushion",25,25,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
"Ecuador2","Azorella aretioides",4,56,"cushion",35,35,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,57,"cushion",37,37,,,,4,,,,,,1,,,1,,,,,,,,,,,9,,,,,,
"Ecuador2","Azorella aretioides",4,58,"cushion",50,50,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,
"Ecuador2","Azorella aretioides",4,59,"cushion",29,29,,,,2,,,,,,,,,,,,,1,,,,2,,,4,,,,1,3,
"Ecuador2","Azorella aretioides",4,60,"cushion",57,57,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,61,"cushion",24,24,,,,,,,,,,,1,,,,2,,,,,,2,,,4,,,,,,
"Ecuador2","Azorella aretioides",4,62,"cushion",24,24,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,
"Ecuador2","Azorella aretioides",4,63,"cushion",29,29,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,1,,3
"Ecuador2","Azorella aretioides",4,64,"cushion",40,40,,,,4,,,,,,,1,,2,,,1,,,,,,,,13,,,,,,5
"Ecuador2","Azorella aretioides",4,65,"cushion",32,32,,,,,,,,,,,3,,,,,1,,,,,,,,13,,,,,,4
"Ecuador2","Azorella aretioides",4,66,"cushion",28,28,,,,,,,,,,,,,2,,3,,,,,6,,,,3,,,,,,3
"Ecuador2","Azorella aretioides",4,67,"cushion",25,25,,,,1,1,,,,,2,2,,3,,,,,,,,,,,5,,,,,,1
"Ecuador2","Azorella aretioides",4,68,"cushion",39,39,,,,6,,,2,,,1,,,,,,,,,,,,,,0,,,,5,,3
"Ecuador2","Azorella aretioides",4,69,"cushion",44,44,,,,3,,2,,,,,2,,2,,2,,,,,,,,,23,,,,,,
"Ecuador2","Azorella aretioides",4,70,"cushion",28,28,,,,1,,,,,,,,4,,,2,1,,,,,,,,11,,,,,,3
"Ecuador2","Azorella aretioides",4,71,"cushion",30,30,,,,2,,,,,,,3,,1,,1,,,,,,,,,13,,,,,,
"Ecuador2","Azorella aretioides",4,72,"cushion",28,28,,,,1,1,,,,,,,,2,,3,,,,,,,,,7,,,,2,,
"Ecuador2","Azorella aretioides",4,73,"cushion",46,46,,,,6,,,1,,,,,,6,,,,4,,,,1,,35,17,,,,,,3
"Ecuador2","Azorella aretioides",4,74,"cushion",40,40,,,,5,2,,,,,4,3,,1,,2,,4,,,,,,,41,,,,1,,5
"Ecuador2","Azorella aretioides",4,75,"cushion",52,52,,,,,,,,,,,5,,5,,,,,,,,,,,18,,,,,,
"Ecuador2","Azorella aretioides",4,76,"cushion",30,30,,,,2,4,,,,,,,,9,,,3,,,,,,,,14,,,,,,
"Ecuador2","Azorella aretioides",4,77,"cushion",36,36,,,,7,,,,,,,1,21,2,,,,,,,,,,,12,,,,,2,
"Ecuador2","Azorella aretioides",4,78,"cushion",51,51,,,,1,,1,,,,,3,,2,,,,,,,,,,,6,,,,,,
"Ecuador2","Azorella aretioides",4,79,"cushion",58,58,,,,1,,1,,,,,,,4,,,,,,,,,,1,36,,,1,,,
"Ecuador2","Azorella aretioides",4,80,"cushion",48,48,,,,,,,,3,,,,18,2,,1,,6,,,7,,,,16,,,,,,
"Ecuador2","Azorella aretioides",4,81,"cushion",25,25,,,,,,1,,1,,,,,,,,,,,,,,,,5,,,,,,
"Ecuador2","Azorella aretioides",4,82,"cushion",26,26,,,,2,,1,,,,,,,5,,,,,,,,,,,6,,,,,,
"Ecuador2","Azorella aretioides",4,83,"cushion",34,34,,,1,,,,,,,,,,1,,,3,,,,,,,,16,,,,,,
"Ecuador2","Azorella aretioides",4,84,"cushion",59,59,,,,1,,,,,,2,1,,5,,,1,,,,,,,,9,,,,,,
"Ecuador2","Azorella aretioides",4,85,"cushion",26,26,,,,,,,,,,4,,,1,,,7,,,1,,,,,4,,,,,,
"Ecuador2","Azorella aretioides",4,1,"open",67,67,,,,2,,1,,1,,,,,1,,,,,,,,,,,3,,,2,1,,10
"Ecuador2","Azorella aretioides",4,2,"open",63,63,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,1
"Ecuador2","Azorella aretioides",4,3,"open",49,49,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,1
"Ecuador2","Azorella aretioides",4,4,"open",37,37,,,,2,,,,,,,,,,,2,1,,,,,,,,0,,,,1,,10
"Ecuador2","Azorella aretioides",4,5,"open",33,33,,,,5,,,,,,,,,,,,3,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,16,"open",56,56,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,17,"open",59,59,,,,1,,,1,,,,,,,,,,,,,,,,,0,,,,,,1
"Ecuador2","Azorella aretioides",4,28,"open",28,28,,,,1,,1,,,,,,,1,,,,,,,,,,,2,,,,,,3
"Ecuador2","Azorella aretioides",4,29,"open",28,28,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,40,"open",25,25,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,41,"open",22,22,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,3
"Ecuador2","Azorella aretioides",4,52,"open",28,28,,,,3,,,,,2,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,53,"open",38,38,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,
"Ecuador2","Azorella aretioides",4,64,"open",40,40,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,3
"Ecuador2","Azorella aretioides",4,65,"open",32,32,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,76,"open",30,30,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,1,,
"Ecuador2","Azorella aretioides",4,77,"open",36,36,,,,7,,,,,,,,,,,,,,,,,,,,6,,,,,,
"Ecuador2","Azorella aretioides",4,78,"open",51,51,,,,5,,2,,,,,,,,,,,,,,,,,,7,,,,,,
"Ecuador2","Azorella aretioides",4,79,"open",58,58,,,,4,,,,,,,,,,,,,,,,,,,4,0,,,,,,
"Ecuador2","Azorella aretioides",4,80,"open",48,48,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,81,"open",25,25,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,82,"open",26,26,,1,,3,,,,,,,,,,,,1,,,,,,,,4,,,,,,
"Ecuador2","Azorella aretioides",4,83,"open",34,34,,,,1,,,,2,,,,,,,,3,,,,,,,,4,,,3,,,
"Ecuador2","Azorella aretioides",4,84,"open",59,59,,,,4,,,,1,,,,1,,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,85,"open",26,26,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,6,"open",53,53,,,,5,,,,,,,,,,,,1,,,6,,,,,6,,,,,,
"Ecuador2","Azorella aretioides",4,7,"open",39,39,,,,2,,,,1,,,,,1,,,,,,,,,,,0,,,,,,5
"Ecuador2","Azorella aretioides",4,8,"open",25,25,,,,2,,,,,,,,,,,,2,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,9,"open",50,50,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,5
"Ecuador2","Azorella aretioides",4,10,"open",30,30,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,11,"open",78,78,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,5
"Ecuador2","Azorella aretioides",4,12,"open",11,11,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,13,"open",49,49,,,,,,1,,,,2,,,,,,,,,,,,,,1,3,,,,,3
"Ecuador2","Azorella aretioides",4,14,"open",23,23,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
"Ecuador2","Azorella aretioides",4,15,"open",54,54,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,18,"open",57,57,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,19,"open",43,43,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,20,"open",27,27,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2
"Ecuador2","Azorella aretioides",4,21,"open",59,59,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1
"Ecuador2","Azorella aretioides",4,22,"open",23,23,,,,1,,,,1,,1,,,,,,,,,,,,,,3,,,,1,1,
"Ecuador2","Azorella aretioides",4,23,"open",44,44,,,,2,,5,,,,1,1,,1,,1,2,,,,,,,8,3,,,1,1,,1
"Ecuador2","Azorella aretioides",4,24,"open",19,19,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,
"Ecuador2","Azorella aretioides",4,25,"open",54,54,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,26,"open",24,24,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1
"Ecuador2","Azorella aretioides",4,27,"open",52,52,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
"Ecuador2","Azorella aretioides",4,30,"open",52,52,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,31,"open",38,38,,,,,,2,,,,,,,3,,,,,,,,,,,2,,,,,3,
"Ecuador2","Azorella aretioides",4,32,"open",54,54,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,1
"Ecuador2","Azorella aretioides",4,33,"open",58,58,,,,2,,,,,,,,,,,,8,,,,,,,,6,,,,,,2
"Ecuador2","Azorella aretioides",4,34,"open",26,26,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,5
"Ecuador2","Azorella aretioides",4,35,"open",56,56,,,,,,,,,,,,,,,,,,,,,1,,3,0,,,,,,
"Ecuador2","Azorella aretioides",4,36,"open",19,19,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1
"Ecuador2","Azorella aretioides",4,37,"open",26,26,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1
"Ecuador2","Azorella aretioides",4,38,"open",45,45,,,,,,,,,,,,,,,1,,,,,,,1,,2,,,1,1,,
"Ecuador2","Azorella aretioides",4,39,"open",52,52,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,42,"open",28,28,,,,6,,1,,,,,,,1,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,43,"open",38,38,,,,3,,,,,,,,,2,,,2,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,44,"open",43,43,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,
"Ecuador2","Azorella aretioides",4,45,"open",54,54,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,
"Ecuador2","Azorella aretioides",4,46,"open",40,40,,,,1,,,,,,,,,,,,2,,,,,,,,4,,,,,,
"Ecuador2","Azorella aretioides",4,47,"open",29,29,,,,6,,1,,,,,,,,,,,,,,,,,,3,,,2,,,
"Ecuador2","Azorella aretioides",4,48,"open",65,65,,,,,,2,,,,,,,2,,,1,,,,,,,,6,,,,,,
"Ecuador2","Azorella aretioides",4,49,"open",38,38,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,50,"open",53,53,,,,4,2,3,,,,,,,,,,,,,,,,,,10,,,,,,
"Ecuador2","Azorella aretioides",4,51,"open",36,36,,,,2,,,,,,,,,,,,,,,,,,,,0,,,,2,,
"Ecuador2","Azorella aretioides",4,54,"open",16,16,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
"Ecuador2","Azorella aretioides",4,55,"open",25,25,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,1,,
"Ecuador2","Azorella aretioides",4,56,"open",35,35,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,57,"open",37,37,,,,6,,,,,,,,,,,,,,,,,,,,2,,,1,2,,
"Ecuador2","Azorella aretioides",4,58,"open",50,50,,,,2,,1,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,59,"open",29,29,,,,5,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,60,"open",57,57,,,,10,,,,,,,,,,,,,,,,,,,,12,,,6,,4,
"Ecuador2","Azorella aretioides",4,61,"open",24,24,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,62,"open",24,24,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Ecuador2","Azorella aretioides",4,63,"open",29,29,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,66,"open",28,28,,,,,,,,,,,,,,,,,,,,4,,,,0,,,,,,2
"Ecuador2","Azorella aretioides",4,67,"open",25,25,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,68,"open",39,39,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,3
"Ecuador2","Azorella aretioides",4,69,"open",44,44,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,3,,
"Ecuador2","Azorella aretioides",4,70,"open",28,28,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,71,"open",30,30,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,72,"open",28,28,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Ecuador2","Azorella aretioides",4,73,"open",46,46,,,,1,,,,,,,,,2,,,,,,,,,,6,1,,,,,,
"Ecuador2","Azorella aretioides",4,74,"open",40,40,,,,2,,,,,,,,,2,,,,,1,,,,,,5,,,,5,,
"Ecuador2","Azorella aretioides",4,75,"open",52,52,,,,4,,,,2,,,5,,4,,,,,,,,,,,36,,,,4,,
