"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia echinus","Adesmia sp 2","Adesmia subterranea","Azorella madreporica","Calandrinia caespitosa","Calandrinia sp","Carex sp","Cerastium arvense","Chaetanthera lycopodioides","Chaetanthera pentacaenoides","Crucifera","Erigeron andicola","Gayophytum micranthum","Hordeum comosum","Jarava chrysophylla","Kurzamra pulchella","Menonvillea sp","Montiopsis copiapina","Nassauvia cumingii","Olsynium junceum","Oxalis sp","Phacelia secunda","Poa holciformis","Senecio sp","Trisetum oreophilum","Viola montagnei","Viola philippii"
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,1,"cushion ",,,33.1830724035,,,,,,,,,,,,,,1,,,,,,,,,4,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,2,"cushion ",,,10.1787601976,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,3,"cushion ",,,13.9486713819,,,,,,,,,,2,,,,,,,,,1,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,4,"cushion ",,,9.7389372261,,,,,,3,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,5,"cushion ",,,14.3256625004,,,,,,,,,,1,,,,,,,,,1,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,6,"cushion ",,,4.9087385212,,,,,,,,,,,,,,2,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,7,"cushion ",,,40.7150407905,,,,1,,,,,,,1,,,2,,,,,,,,,7,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,8,"cushion ",,,32.3976742401,1,,,,,,,,,,2,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,9,"cushion ",,,34.9188023447,,,,,,1,,,,,1,,,,,,,,1,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,10,"cushion ",,,8.0424771932,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,11,"cushion ",,,6.157521601,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,12,"cushion ",,,7.5476763502,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,13,"cushion ",,,11.9380520836,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,14,"cushion ",,,27.3004401597,,,,,,,,,,2,,,,,,,,,3,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,15,"cushion ",,,10.4772114997,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,16,"cushion ",,,16.0221225333,,,,,,,,,,1,,,,1,,,,,,,,,3,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,17,"cushion ",,,26.4207942167,,,,,,,,,,,2,,,,,,,,,,,,4,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,18,"cushion ",,,4.5238934212,,,,,,,,,,,2,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,19,"cushion ",,,16.82322866,,,,,,,,,,2,,,,1,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,20,"cushion ",,,35.2565235549,,,,,,,,,,,1,,,,,,,,,,,,5,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,21,"cushion ",,,33.1830724035,,,,,,,,,,,2,,,,,,,,,,,,5,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,22,"cushion ",,,25.7296438329,,,,,,,,,,,2,,,1,,,,,,,,,3,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,23,"cushion ",,,28.4785374048,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,24,"cushion ",,,71.7461222264,1,,,,,,,,,2,16,,,,,,,,,,,,6,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,25,"cushion ",,,22.0618344098,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,26,"cushion ",,,36.1754394061,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,27,"cushion ",,,17.3494454294,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,28,"cushion ",,,3.7306412761,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,29,"cushion ",,,20.6009938259,,,,,,,,,,3,5,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,30,"cushion ",,,11.2154857733,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,31,"cushion ",,,76.5920288945,,,,,,,,,,1,7,,,,,,,,,,,,10,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,32,"cushion ",,,55.4176944093,,,,,,2,,,,,,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,33,"cushion ",,,7.5476763502,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,34,"cushion ",,,3.4714598822,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,35,"cushion ",,,29.1539798253,,,,,,,,,,,2,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,36,"cushion ",,,19.6349540849,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,37,"cushion ",,,16.0221225333,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,38,"cushion ",,,40.4322974517,,,,,,,,,,,5,,,,,,,,,,,,3,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,39,"cushion ",,,8.1995568259,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,40,"cushion ",,,12.6449104307,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,41,"cushion ",,,3.8798669272,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,42,"cushion ",,,41.8538681275,,,,,,,,,,,,,,,,,,,,,,,5,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,43,"cushion ",,,58.0880481649,,,,,,,,,,2,,,,1,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,44,"cushion ",,,7.4220126441,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,45,"cushion ",,,23.7582944428,,,,,,,,,,,7,,1,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,46,"cushion ",,,4.7752208335,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,47,"cushion ",,,13.7837377676,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,48,"cushion ",,,9.0792027689,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,49,"cushion ",,,3.4636059006,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,50,"cushion ",,,3.133738672,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,51,"cushion ",,,7.4769905155,,,,,,,,,,3,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,52,"cushion ",,,7.4298666257,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,53,"cushion ",,,33.5993334301,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,54,"cushion ",,,33.4343998158,,,,,,,,,,,6,,1,,,,,,,,,,5,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,55,"cushion ",,,7.6340701482,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,56,"cushion ",,,12.1736715327,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,57,"cushion ",,,41.0449080192,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,58,"cushion ",,,15.1189146454,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,59,"cushion ",,,8.4823001647,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,60,"cushion ",,,23.4991130489,,,,,,,,,,,2,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,61,"cushion ",,,14.3256625004,,,,,,,,,,1,,,,,,,,,1,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,62,"cushion ",,,4.9087385212,,,,,,,,,,,,,,2,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,63,"cushion ",,,40.7150407905,,,,1,,,,,,,1,,,2,,,,,,,,,7,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,64,"cushion ",,,32.3976742401,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,65,"cushion ",,,34.9188023447,,,,,,1,,,,,1,,,,,,,,1,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,66,"cushion ",,,8.0424771932,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,67,"cushion ",,,6.157521601,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,68,"cushion ",,,7.5476763502,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,69,"cushion ",,,11.9380520836,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,70,"cushion ",,,27.3004401597,,,,,,,,,,2,,,,,,,,,3,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,71,"cushion ",,,10.4772114997,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,72,"cushion ",,,16.0221225333,,,,,,,,,,1,,,,1,,,,,,,,,3,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,73,"cushion ",,,26.4207942167,,,,,,,,,,,2,,,,,,,,,,,,4,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,74,"cushion ",,,4.5238934212,,,,,,,,,,,2,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,75,"cushion ",,,16.82322866,,,,,,,,,,2,,,,1,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,76,"cushion ",,,35.2565235549,,,,,,,,,,,1,,,,,,,,,,,,5,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,77,"cushion ",,,33.1830724035,,,,,,,,,,,2,,,,,,,,,,,,5,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,78,"cushion ",,,25.7296438329,,,,,,,,,,,2,,,1,,,,,,,,,3,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,79,"cushion ",,,28.4785374048,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,80,"cushion ",,,71.7461222264,,,,,,,,,,2,16,,,,,,,,,,,,6,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,81,"cushion ",,,22.0618344098,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,82,"cushion ",,,36.1754394061,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,83,"cushion ",,,17.3494454294,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,84,"cushion ",,,3.7306412761,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,85,"cushion ",,,20.6009938259,,,,,,,,,,3,5,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,86,"cushion ",,,11.2154857733,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,87,"cushion ",,,76.5920288945,1,,,,,,,,,1,7,,,,,,,,,,,,10,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,88,"cushion ",,,3.133738672,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,89,"cushion ",,,13.9486713819,,,,,,,,,,2,,,,,,,,,1,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,90,"cushion ",,,9.7389372261,,,,,,3,,,,,,,,,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,91,"cushion ",,,14.3256625004,,,,,,,,,,1,,,,,,,,,1,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,92,"cushion ",,,4.9087385212,,,,,,,,,,,,,,2,,,,,,,,,,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,93,"cushion ",,,40.7150407905,,,,1,,,,,,,1,,,2,,,,,,,,,7,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,94,"cushion ",,,32.3976742401,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
"Adesmia subterranea 4000 m ELQUI","Adesmia subterranea",9,95,"cushion ",,,34.9188023447,,,,,,1,,,,,1,,,,,,,,1,,,,1,,,,
