"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena antarctica","Acaena magellanica","Acaena pinnatifida","Adesmia lotoides","Adesmia parviflora","Adesmia pumila","Arjona patagonica","Astragalus nivicola","Azorella coespitosa","Azorella fuegiana","Berberis buxifolia","Berberis empetrifolia","Calceolaria uniflora","Cerastium sp","Colobanthus subulatus","Draba funiculosa","Draba magellanica","Elymus sp","Empetrum rubrum","Erigeron sp","Festuca magellanica","Hamadryas sp","Hypochaeris incana","Leucheria candidissima","Leucheria leontopodioides","Luzula sp 1","Luzula sp 2","Nassauvia aculeata","Nassauvia pygmaea","Nassauvia revoluta","Oreobolus sp","Oxalis enneaphylla","Perezia pilifera","Pernettya mucronata","Phaiophleps biflora","Phleum sp","Plantago sp","Poa alopecurus","Poa fuegiana","Poa pratensis","Poa pusilla","Ribes cucullatum","Saxifraga sp","Senecio magellanicus","Trisetum sp","Vicia bijuga","Vicia magellanica"
"Torres del Paine Azorella monantha 700","Azorella monantha",23,1,"cushion",,,,,1,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,2,"cushion",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,3,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,4,"cushion",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,5,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,6,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,7,"cushion",,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,8,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,9,"cushion",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,10,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,11,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,12,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,13,"cushion",,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,14,"cushion",,,,,1,1,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,15,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,16,"cushion",,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,17,"cushion",,,,,1,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,18,"cushion",,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,19,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,20,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,21,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,22,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,23,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,24,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,25,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,26,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,27,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,28,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,29,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,30,"cushion",,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,31,"cushion",,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,32,"cushion",,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,33,"cushion",,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,34,"cushion",,,,,,1,,,,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,35,"cushion",,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,36,"cushion",,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,37,"cushion",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,38,"cushion",,,,1,1,,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,39,"cushion",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,40,"cushion",,,,,1,,,,,,,,1,,,,,,,,,,,1,,1,,1,,,,,,,,,,1,,,,,1,,,,,1,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,41,"cushion",,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,42,"cushion",,,,,1,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,43,"cushion",,,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,44,"cushion",,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,45,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,10,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,11,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,22,"open",,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,23,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,34,"open",,,,,,1,,,,,,,,,,1,1,,,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,35,"open",,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,,,1,1,,,,,,,,,,,,1,,,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,46,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,47,"open",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,46,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,47,"cushion",,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,1,"open",,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,2,"open",,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,1,,1,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,3,"open",,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,4,"open",,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,5,"open",,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,6,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,7,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,8,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,9,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,12,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,13,"open",,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,14,"open",,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,15,"open",,,,,1,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,16,"open",,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,17,"open",,,,,1,,,,,,,,,1,,1,1,,,,,,1,,,1,,1,,,,,,,,,,,1,1,,,1,,,,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,18,"open",,,,,1,,,,,,,,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,19,"open",,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,1,,,,,,,,,1,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,20,"open",,,,,1,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,1,,,,,,1,,,,,,,,1,,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,21,"open",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,24,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,25,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,26,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,28,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,29,"open",,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,1,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,30,"open",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,31,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,32,"open",,,,,1,,,,,1,,,,,,1,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,1,1,,,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,33,"open",,,,,1,1,,,,,,1,1,,,1,,,,,1,,1,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,36,"open",,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,37,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,38,"open",,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,39,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,40,"open",,,,,1,,,,,,,1,1,1,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,41,"open",,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1
"Torres del Paine Azorella monantha 700","Azorella monantha",23,42,"open",,,,,1,1,,,,,,1,,,,1,1,,,,1,,,1,,,,1,,,1,,,,,,1,,,,,,,,,1,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,43,"open",,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,44,"open",,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Torres del Paine Azorella monantha 700","Azorella monantha",23,45,"open",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
