"site","cushion","code","sample","cushion.open","diam1","diam2","area","Abrotonella","Acaena antarctica","Acaena diminuta","Acaena magellanica","Acaena pinnatifida","Adesmia lotoides","Adesmia parviflora","Adesmia pumila","Adesmia solicornioides","Astragalus nivicola","Azorella coespitosa","Azorella fuegiana","Azorella licopodioidea","Calceolaria uniflora","Cerastium sp","Colobantus lycopodioides","Colobanthus subulatus","Draba funiculosa","Draba magellanica","Elymus sp","Empetrum rubrum","Erigeron sp","Eudema","Festuca magellanica","Hamadryas sp","Hypochaeris incana","Leucheria candidissima","Luzula sp 1","Luzula sp 2","Nassauvia aculeata","Nassauvia revoluta","Oxalis enneaphylla","Oxalis patagonica","Perecia magellantha","Perezia pilifera","Pernettya mucronata","Pernettya pumila","Phleum sp","Plantago sp","Poa alopecurus","Poa fuegiana","Poa pratensis","Poa pusilla","Senecio magellanicus","Trisetum sp","Vicia bijuga"
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,1,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,2,"cushion",,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,3,"cushion",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,4,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,5,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,13,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,14,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,15,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,16,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,17,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,25,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,26,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,27,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,28,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,29,"cushion",,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,1,1,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,37,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,38,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,39,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,40,"cushion",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,41,"cushion",,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,49,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,50,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,1,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,2,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,3,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,4,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,5,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,6,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,11,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,12,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,13,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,14,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,15,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,16,"open",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,17,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,18,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,23,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,24,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,25,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,26,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,28,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,29,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,30,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,35,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,36,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,37,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,38,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,39,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,40,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,41,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,42,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,47,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,48,"open",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,49,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,50,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,6,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,7,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,8,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,9,"cushion",,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,10,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,11,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,12,"cushion",,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,18,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,19,"cushion",,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,20,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,21,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,22,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,23,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,24,"cushion",,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,30,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,31,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,32,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,33,"cushion",,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,34,"cushion",,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,35,"cushion",,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,36,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,42,"cushion",,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,43,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,44,"cushion",,,,1,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,45,"cushion",,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,46,"cushion",,,,1,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,47,"cushion",,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,48,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,7,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,8,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,9,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,10,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,19,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,20,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,21,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,22,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,31,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,32,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,33,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,34,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,43,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,44,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,45,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 900","Bolax gummifera",26,46,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
