Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agrostis nevadensis,Alyssum nevadense,Asperula aristata ssp scabra,Biscutella glacialis,Cytisus galianoi,Erigeron frigidus,Erophila verna,Eryngium glaciale,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca indigesta,Galium pyrenaicum,Herniaria boissieri ssp boissieri,Jasione amethystina,Jurinea humulis,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Nevadensia purpurea,Pilosella sp,Poa ligulata,Ranunculus demissus,Rumex angiocarpus,Senecio boissieri,Thymus serpylloides ssp serpylloides
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",1,"cushion",22,21,,,,,,,,,1,,2,2,,,,3,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",1,"open",22,21,,,,,,,,,2,,,4,,,,,,,1,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",2,"cushion",16,17,,,,,,,,,2,,,,,3,,,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",2,"open",16,17,,,,,,,,,,,,,,,,,,,,,4,,2,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",3,"cushion",18,17,3,,,,,,,,,,,,,,,,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",3,"open",18,17,1,,,,,,6,,1,,,,,,,,,2,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",4,"cushion",15,17,,,,,,,,2,1,,3,,,,,1,,,2,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",4,"open",15,17,1,,,,,,,,1,,,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",5,"cushion",22,20,,,,,,,,,1,,3,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",5,"open",22,20,,,,,,,2,,1,,1,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",6,"cushion",19,17,5,,,,1,,,,2,,,,,,,,,,1,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",6,"open",19,17,1,,,,,1,,,1,,,,,,,,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",7,"cushion",19,20,,,,,1,,,,1,,1,,,1,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",7,"open",19,20,,,,,1,,2,,1,,2,,,,,,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",8,"cushion",19,17,3,,,,1,,,,1,,,,,1,,,,,1,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",8,"open",19,17,1,,,,,,2,,,,2,,,,,,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",9,"cushion",23,22,3,,,,,,,,4,,2,,,,,,,,3,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",9,"open",23,22,,,,,,,,,4,,1,,,,,,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",10,"cushion",26,24,9,,,,,,,,4,,,,,1,1,,,,5,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",10,"open",26,24,2,,,,,,,,3,,1,,,,,,,,,,,,,1,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",11,"cushion",25,14,7,,,,,,,,2,,1,,,,,,,,3,1,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",11,"open",25,14,1,,,,,,2,,,,3,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",12,"cushion",21,16,2,,,,,,,1,2,,3,,,1,,,,,2,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",12,"open",21,16,3,,,,,,2,,2,,1,,,,,4,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",13,"cushion",22,19,7,,,,,,,,3,,,,,,,1,,,1,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",13,"open",22,19,3,,,,,,,,,,,,,2,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",14,"cushion",19,20,,,,,1,,,,,,4,,,,1,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",14,"open",19,20,,,,,,,,,1,,1,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",15,"cushion",32,32,,,,,1,,,,1,,8,,,,,1,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",15,"open",32,32,,,,,,,3,,3,,,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",16,"cushion",20,21,,,,,,,,,2,,2,,,4,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",16,"open",20,21,,,,,,,,,2,,1,,,,,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",17,"cushion",19,19,,,,,,,,,,,2,,,1,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",17,"open",19,19,,,,,,,3,,2,,,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",18,"cushion",20,22,1,,,,1,,,,4,,3,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",18,"open",20,22,,,,,2,,1,,,,,,,,,,,,,,12,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",19,"cushion",13,13,2,,,,,,,,1,,1,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",19,"open",13,13,,,,,,,,,,,1,,,,,,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",20,"cushion",23,21,1,,,,,,,,,,2,,,3,,7,,,1,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",20,"open",23,21,,,,,,,,,,,,,,6,,2,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",21,"cushion",16,14,3,,,1,,,,,,,,,,,,,,,3,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",21,"open",16,14,,,,1,,,,,1,,1,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",22,"cushion",18,22,,,,,,,,,1,,2,,,3,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",22,"open",18,22,2,,,,,,,,1,,,,,1,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",23,"cushion",21,20,4,,,,,,,,1,,3,,,12,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",23,"open",21,20,4,,,,1,,,,,,3,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",24,"cushion",18,13,2,,,,1,,,,1,,1,,,3,,,,,5,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",24,"open",18,13,2,,,,1,,,,,,,,,,,,,,2,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",25,"cushion",16,15,2,,,,,,,1,2,,1,,,,,,,,2,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",25,"open",16,15,,1,,,,,,,,,3,,,,,,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",26,"cushion",12,21,,,,,,,,,5,,,,,2,,,,,1,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",26,"open",12,21,2,,,,,,,,,,,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",27,"cushion",15,17,,,,,,,,,2,,4,,,,,,,,1,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",27,"open",15,17,1,,,,,,,,,,2,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",28,"cushion",15,14,,,,,,,,,2,,8,,,,,2,,,2,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",28,"open",15,14,,,,,,,,,2,,,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",29,"cushion",11,14,,,,,,,,,2,,1,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",29,"open",11,14,,,,,,,,,1,,,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",30,"cushion",18,18,1,,,,,,,,2,,1,,,,,,,,,,5,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",30,"open",18,18,,,,,,,,,,,1,,,,,,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",31,"cushion",28,27,,,,,,,,,3,,2,,,3,,1,,,1,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",31,"open",28,27,,2,,,,,11,,2,,,,,,,,,,1,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",32,"cushion",26,22,,,,,,,,1,5,,,,,1,,4,,,1,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",32,"open",26,22,,,,,,,2,,,,1,,,,,,,,,,15,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",33,"cushion",18,19,,,,,1,,,,2,,,,,,,,,,,,4,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",33,"open",18,19,,,,,1,,,,,,,,,,,,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",34,"cushion",20,20,,,,,,,,,,,8,,,,,,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",34,"open",20,20,,,,,,,5,,,,2,,,,,2,,,2,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",35,"cushion",10,10,,,,,1,,,,,,1,,,,,1,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",35,"open",10,10,,,,,,,,,1,,,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",36,"cushion",16,12,,,,,,,,,2,,3,,,,,1,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",36,"open",16,12,,,,,,,1,,,,,,,,,1,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",37,"cushion",13,20,4,,,,,,,,3,,,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",37,"open",13,20,,,,,,,,,1,,,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",38,"cushion",15,14,,,,,,,,,,,3,,,2,,1,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",38,"open",15,14,1,,,,,,,,1,,,,,,,1,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",39,"cushion",22,25,,,,,,,,,1,,6,,,1,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",39,"open",22,25,,,,,,,,,,,1,,,2,,,,,,,6,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",40,"cushion",22,23,6,,,,,,,,2,,,,,2,,,,,2,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",40,"open",22,23,,,,,,,3,,1,,,,,,,,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",41,"cushion",24,21,6,,,,,,1,,,,,,,,10,,,,,,7,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",41,"open",24,21,,,,,,,1,,,,,,,,,,,,1,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",42,"cushion",16,15,1,,,,,,,,,,,,,,1,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",42,"open",16,15,3,,,,,,3,,,,,,,,,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",43,"cushion",23,20,,,,,2,,,,,,,,,,,,,,,,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",43,"open",23,20,,,,,,,,,,,,,,,,,,,,,12,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",44,"cushion",16,17,2,,,,1,,,,,,1,,,1,,,,,,2,3,,1,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",44,"open",16,17,1,,,,,,13,,,,,,,,,,,,,,9,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",45,"cushion",13,12,2,,,,,,,,,,,,,,,,,,,,2,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",45,"open",13,12,,,,,,,,,,,,,,,,,,,,,1,,2,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",46,"cushion",19,10,8,,,,,,,,,,,,,,1,4,,,,1,1,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",46,"open",19,10,,,,,,,5,,,,,,,,,,,,,,7,,2,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",47,"cushion",17,15,3,,,,,,,,,,,,,,15,,,,,,,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",47,"open",17,15,,,,,,,7,,,,,,,,,,,,,,8,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",48,"cushion",26,28,9,,,,,,1,,4,,1,,,,1,6,,,,,3,,,,
77,"Sierra Nevada1","Arenaria_tetraquetra_amabilis",48,"open",26,28,7,,,,,,1,,2,,,,,,5,,,,,,9,,,,
