Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agrostis_flaccida,Anemone_narcisssiflora,Arcterica_nana,Arctous_alpinus,Bryanthus_gmelinii,Calamagrostos_sesquiflora,Carex_flavocuspis,Carex_sp,Carex_stenantha,Cassiope_lycopodioides,Deschampsia_caespitosa,Deschampsia_flexuosa,Diapensia_lapponica,Dicentra_peregrina,Empetrum_nigrum,Hierochloe_alpina,Linnea_borealis,Loiseleuria_procumbens,Oxytropis_japonica,Patrinia_sibirica,Phyllodoce_caerulea,Potentilla_matsumurae,Primula_cuneifolia,Rhododendron_aureum,Rubus_pedatus,Salix_numularia,Saussurea_yanagisawae,Sieversia_pentapetala,Spirea_betulifolia,Tilingia_ajanensis,Vaccinium_vitis_idea
82,"Kitanuma","Pinus pumila",1,"Cushion",500,400,,,0.01,15,,,,,1,,0.01,,,,30,0.01,0.01,,,,,,,3,1,,,,1,,70
82,"Kitanuma","Pinus pumila",2,"Open",500,400,,,1,10,2,0.01,1,,3,,,,25,,10,,,40,,,,,,2,,,1,,,0.01,
82,"Kitanuma","Pinus pumila",3,"Cushion",26,23,,,5,2,,,30,,,,,,,,,,,70,,,,,,,,,,,,,3
82,"Kitanuma","Pinus pumila",4,"Open",26,23,,,15,2,,10,,,,,,,,,30,,,80,,,,,,,,,,,,,
82,"Kitanuma","Pinus pumila",5,"Cushion",55,55,,,15,,4,1,,,,,,,1,,,0.01,,8,,,,,,,,,4,,,,
82,"Kitanuma","Pinus pumila",6,"Open",55,55,,,20,1,,2,,,10,,,,5,,1,,,40,,,,2,,,,1,,,,,
82,"Kitanuma","Pinus pumila",7,"Cushion",91,115,,,3,10,,,1,,5,,0.01,,,,60,,,,,,,,,8,,,,,,,40
82,"Kitanuma","Pinus pumila",8,"Open",91,115,,,15,15,,3,,,3,,,,20,,,,,40,,,,,,,,,,,,,
82,"Kitanuma","Pinus pumila",9,"Cushion",85,60,,,15,1,30,,,,10,1,,,7,,,,,25,,,,,,,,,,,,,0.01
82,"Kitanuma","Pinus pumila",10,"Open",85,60,,,5,10,,0.01,25,,7,2,,,,,35,,,30,,,,,,3,,,,,,0.01,1
82,"Kitanuma","Pinus pumila",11,"Cushion",150,140,,,3,,10,1,,,2,,,,70,,,,,15,,,,1,,,,5,,,,,
82,"Kitanuma","Pinus pumila",12,"Open",150,140,,,1,,15,,,,1,,,,10,,,,,20,,,,,,7,,2,,,,,
82,"Kitanuma","Pinus pumila",13,"Cushion",90,75,,,,,25,1,5,0.01,1,,0.01,,70,,,,,20,,,,0.01,,,,2,1,,,,
82,"Kitanuma","Pinus pumila",14,"Open",90,75,,,0.01,1,20,0.01,,,5,,,,15,,3,,,5,,,,,,,,1,1,,,,
82,"Kitanuma","Pinus pumila",15,"Cushion",140,70,,,5,25,,1,1,,10,1,,,70,,,,,10,,2,,0.01,,,,,3,,,,
82,"Kitanuma","Pinus pumila",16,"Open",140,70,,,3,30,,0.01,,,10,,,,50,,,0.01,,,,,,1,,1,,,2,,,,
82,"Kitanuma","Pinus pumila",17,"Cushion",60,45,,,15,10,,,,,1,,,,,,,,,50,,,,,,,,2,,,,,
82,"Kitanuma","Pinus pumila",18,"Open",60,45,,,3,25,,1,,,5,,,,20,,15,,,40,,,,,,,,2,0.01,,,,
82,"Kitanuma","Pinus pumila",19,"Cushion",190,140,,,,7,,,5,,5,,,,,,50,,,5,,,,1,,30,,,2,,,,10
82,"Kitanuma","Pinus pumila",20,"Open",190,140,,,7,30,,1,,,10,,,,30,,,,,30,,,,0.01,0.01,10,,,5,1,,0.01,
82,"Kitanuma","Pinus pumila",21,"Cushion",40,50,,,10,,,,,,1,1,,,,,20,,,30,,,,1,,30,,,,,,,
82,"Kitanuma","Pinus pumila",22,"Open",40,50,,,4,20,,1,1,,3,,,,15,,20,,,60,,,,1,,5,,,7,,,,
82,"Kitanuma","Pinus pumila",23,"Cushion",70,70,1,,5,,,,,,15,,1,,80,,1,,,,,,,1,1,,,5,20,,,,
82,"Kitanuma","Pinus pumila",24,"Open",70,70,,,2,,2,1,,,4,,,,35,,,,,35,,,,1,,,,4,1,,,,
82,"Kitanuma","Pinus pumila",25,"Cushion",40,45,,,7,,,2,15,,5,,,,25,,,,,,,,,1,,,,5,1,,,,
82,"Kitanuma","Pinus pumila",26,"Open",40,45,,,2,,15,,3,,2,,,,5,,25,0.01,,45,,,,,,,,,0.01,,,,
82,"Kitanuma","Pinus pumila",27,"Cushion",80,50,,,10,,,15,,,3,,,,25,,,,,,,,,1,,,,2,4,,,1,
82,"Kitanuma","Pinus pumila",28,"Open",80,50,,,10,,,,,,1,,,,40,,0.01,0.01,,30,,,,,,,,15,2,,,,
82,"Kitanuma","Pinus pumila",29,"Cushion",40,60,,,5,,,4,,,2,,,,30,,3,,,,,,,,,,,2,4,,,,
82,"Kitanuma","Pinus pumila",30,"Open",40,60,0.01,,1,,5,,,,1,,,,15,,,0.01,,25,,,,1,,,,5,,,,,
82,"Kitanuma","Pinus pumila",31,"Cushion",60,90,,,30,,,5,,,20,,,,,,,,,20,,4,,,,,,,,,,,
82,"Kitanuma","Pinus pumila",32,"Open",60,90,,,4,,,,,,1,,,,35,,,0.01,,20,,1,,0.01,,,,,1,,,,
82,"Kitanuma","Pinus pumila",33,"Cushion",60,75,,,2,,,4,,,25,,,1,1,,,,,50,,2,,3,,,,3,4,,,,
82,"Kitanuma","Pinus pumila",34,"Open",60,75,0.01,,6,,2,,,,2,,,,15,,,0.01,,25,,1,,0.01,,,,0.01,2,,,,
82,"Kitanuma","Pinus pumila",35,"Cushion",340,250,,,0.01,1,,0.01,4,,1,,,,,,20,,,1,,,,,,25,,,1,,,0.01,10
82,"Kitanuma","Pinus pumila",36,"Open",340,250,0.01,,3,,1,,0.01,,2,,,,30,0.01,1,0.01,,15,2,0.01,,0.01,,,,1,2,0.01,1,,
82,"Kitanuma","Pinus pumila",37,"Cushion",60,105,,1,2,1,2,,25,,2,,,0.01,1,,,,,5,,1,,0.01,,,,,2,3,,0.01,1
82,"Kitanuma","Pinus pumila",38,"Open",60,105,,,1,5,,,10,,0.01,,,,0.01,,,1,,20,,,0.01,1,,0.01,,,,,,,0.01
82,"Kitanuma","Pinus pumila",39,"Cushion",140,150,,,30,1,10,,2,,0.01,,,0.01,7,,,,,5,1,,,1,,,,0.01,0.01,,,,
82,"Kitanuma","Pinus pumila",40,"Open",140,150,,,4,2,1,,2,,0.01,,,,30,,,0.01,,50,,,,0.01,,,,3,1,,,0.01,
82,"Kitanuma","Pinus pumila",41,"Cushion",24,25,,,63,,10,,,,,,,,6,,,,,,,,,,,,,,,,,,
82,"Kitanuma","Pinus pumila",42,"Open",24,25,,,40,,,0.01,,,5,,,,,,,,,15,,,,,,,,,,,,,
82,"Kitanuma","Pinus pumila",43,"Cushion",175,150,,,10,1,1,0.01,,,1,,,,,,50,,,1,,,,,,3,,,0.01,,,,0.01
82,"Kitanuma","Pinus pumila",44,"Open",175,150,,,3,,25,,,,5,,,,15,,,,,5,2,0.01,,,,,,1,2,,,,
82,"Kitanuma","Pinus pumila",45,"Cushion",150,120,,,1,,1,1,4,,0.01,0.01,,,3,,,,,1,,,,,,5,,,0.01,,,,5
82,"Kitanuma","Pinus pumila",46,"Open",150,120,,,8,,35,1,1,,2,,,,25,,,,,20,2,1,,0.01,,,,2,3,,,,
82,"Kitanuma","Pinus pumila",47,"Cushion",50,30,,,2,,,0.01,3,,,,,,5,,,,,1,,,,,,,,15,,,,,
82,"Kitanuma","Pinus pumila",48,"Open",50,30,,,3,,,1,5,,1,,,,50,,,,,10,,1,,0.01,,,,0.01,1,,,0.01,
82,"Kitanuma","Pinus pumila",49,"Cushion",170,500,,,0.01,,,0.01,,,0.01,,,,0.01,,45,,,,,,,,,30,,,,,,,40
82,"Kitanuma","Pinus pumila",50,"Open",170,500,,,0.01,,15,0.01,3,,5,,,,20,,4,,,25,1,0.01,,0.01,,3,,0.01,1,,,,
82,"Kitanuma","Pinus pumila",51,"Cushion",50,70,,,10,,,,8,,0.01,,,,,,,0.01,,15,,3,,1,,,,,2,,,,
82,"Kitanuma","Pinus pumila",52,"Open",50,70,,,2,,35,,,,5,,,,3,,,,,,2,1,,2,,,,1,3,,,1,
82,"Kitanuma","Pinus pumila",53,"Cushion",100,115,,,6,,1,0.01,,,1,,,,7,,,,,1,,,,0.01,,,,,2,,,,
82,"Kitanuma","Pinus pumila",54,"Open",100,115,,,,,20,0.01,,,15,,,,25,,,,,10,2,1,,1,,,,,7,,,,
82,"Kitanuma","Pinus pumila",55,"Cushion",65,78,,,3,,,2,,,1,,,,1,,,0.01,,6,,1,,0.01,,,,1,1,,,,
82,"Kitanuma","Pinus pumila",56,"Open",65,78,,,3,,50,0.01,,,5,1,,,6,,,,,5,,1,,1,,,,3,3,,,,
82,"Kitanuma","Pinus pumila",57,"Cushion",80,77,0.01,,5,,,0.01,,,6,,,,2,,,0.01,,4,,,,0.01,,,,,0.01,,,0.01,
82,"Kitanuma","Pinus pumila",58,"Open",80,77,,,5,,40,,,,7,,,,5,,,0.01,,10,,,,,,,,3,2,,,,
82,"Kitanuma","Pinus pumila",59,"Cushion",105,93,,,1,,,0.01,,,2,,,,4,,,,,1,,1,,0.01,,,,2,1,,,,
82,"Kitanuma","Pinus pumila",60,"Open",105,93,,,5,,20,1,,,7,,,,20,,,,,10,,3,,1,,,,2,2,,,,
