Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Saussurea gnaphalodes (Royle) Sch-Bip,Barbarea orthoceras Ledeb,Aster alpinus L,Elymus nutans Griseb,Leontopodium nanum(HookfetThoms)HandMazz,Potentilla sericea L,Poa pratensis L,Capsella Bursa-pastoris (L) Medic,Androsace tapete Maxim,Pedicularis pilostachya Maxim,Astragalus suleatus L,Ephedra gerardiana Wall,Comastoma pulmonarium(Turez) Toyohuni,Carex Stenophylloides V Krecz,Festuca ovina L
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",1,"cushion",25,32,5,,7,4,7,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",1,"open",25,32,12,12,6,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",2,"cushion",30,34,10,2,13,,6,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",2,"open",30,34,13,3,11,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",3,"cushion",28,33,,7,17,6,,1,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",3,"open",28,33,14,8,2,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",4,"cushion",32,35,17,24,13,3,7,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",4,"open",32,35,2,15,33,,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",5,"cushion",27,30,5,3,14,,2,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",5,"open",27,30,25,14,6,,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",6,"cushion",30,36,,7,10,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",6,"open",30,36,4,3,11,,,,9,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",7,"cushion",28,34,5,30,2,7,9,1,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",7,"open",28,34,,17,3,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",8,"cushion",27,30,16,15,8,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",8,"open",27,30,4,1,,,,,,1,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",9,"cushion",28,28,,11,20,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",9,"open",28,28,10,3,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",10,"cushion",32,40,11,18,1,,7,2,4,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",10,"open",32,40,10,19,,,,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",11,"cushion",29,33,8,40,,4,5,1,1,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",11,"open",29,33,13,17,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",12,"cushion",23,33,7,13,,,,,1,3,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",12,"open",23,33,1,8,,,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",13,"cushion",36,25,2,14,,7,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",13,"open",36,25,2,12,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",14,"cushion",24,22,10,17,,,,,2,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",14,"open",24,22,2,1,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",15,"cushion",24,24,2,41,,,,,3,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",15,"open",24,24,3,3,6,,,,,,3,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",16,"cushion",28,20,4,5,,,,1,3,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",16,"open",28,20,2,4,,,,,2,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",17,"cushion",34,29,2,63,7,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",17,"open",34,29,,,,,,,4,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",18,"cushion",28,25,10,11,,2,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",18,"open",28,25,,6,15,,,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",19,"cushion",34,20,10,2,,,2,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",19,"open",34,20,3,5,2,,,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",20,"cushion",48,35,21,12,,,19,,,,,2,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",20,"open",48,35,49,3,,,,,1,,3,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",21,"cushion",38,40,47,17,,,,,6,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",21,"open",38,40,19,22,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",22,"cushion",27,35,2,3,15,,,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",22,"open",27,35,26,18,4,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",23,"cushion",23,32,11,5,14,,,,2,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",23,"open",23,32,15,6,19,,,,,,3,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",24,"cushion",38,24,1,6,3,,22,1,2,,,,1,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",24,"open",38,24,2,53,3,,,,1,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",25,"cushion",28,29,,7,15,,6,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",25,"open",28,29,5,9,,,,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",26,"cushion",21,24,5,5,,,34,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",26,"open",21,24,16,1,,,,,6,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",27,"cushion",38,29,7,,,8,7,3,4,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",27,"open",38,29,10,20,,,,,2,1,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",28,"cushion",21,23,1,1,,16,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",28,"open",21,23,12,17,,,10,,2,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",29,"cushion",26,26,10,14,,,6,3,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",29,"open",26,26,14,15,,,12,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",30,"cushion",25,29,6,,,1,,2,2,,,,1,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",30,"open",25,29,14,20,,,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",31,"cushion",31,22,13,3,,,13,4,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",31,"open",31,22,20,12,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",32,"cushion",25,30,16,12,,,,1,2,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",32,"open",25,30,35,18,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",33,"cushion",36,28,4,5,,,8,2,3,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",33,"open",36,28,8,15,21,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",34,"cushion",36,46,13,23,,8,23,1,6,1,,,1,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",34,"open",36,46,29,58,1,,8,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",35,"cushion",24,25,5,2,,,3,,2,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",35,"open",24,25,10,29,,,,,2,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",36,"cushion",24,32,21,,,,5,1,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",36,"open",24,32,18,11,,,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",37,"cushion",32,38,2,8,,,40,2,5,,,,1,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",37,"open",32,38,,36,49,,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",38,"cushion",32,26,16,3,,,,,3,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",38,"open",32,26,59,8,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",39,"cushion",31,34,4,,3,,8,2,2,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",39,"open",31,34,33,6,3,,,1,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",40,"cushion",30,25,3,3,2,,55,,2,1,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",40,"open",30,25,10,24,20,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",41,"cushion",33,43,55,5,,,,,,2,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",41,"open",33,43,54,9,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",42,"cushion",38,47,79,47,,,70,,2,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",42,"open?",38,47,46,9,,,2,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",43,"cushion",33,37,53,6,,,4,,2,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",43,"open",33,37,57,11,,,,,2,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",44,"cushion",29,27,29,2,,,,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",44,"open",29,27,96,8,,,,,1,7,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",45,"cushion",22,24,9,6,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",45,"open",22,24,14,11,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",46,"cushion",24,25,22,5,,5,,,,,,,,2,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",46,"open",24,25,31,6,,,,,,,3,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",47,"cushion",38,20,20,11,,,,2,,,,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",47,"open",38,20,6,6,10,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",48,"cushion",22,26,20,11,,,,2,,,,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",48,"open",22,26,6,6,10,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",49,"cushion",32,38,,15,,7,,5,2,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",49,"open",32,38,3,13,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",50,"cushion",38,49,20,10,,,,4,3,,,,1,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",50,"open",38,49,40,35,26,,,,,2,1,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",51,"cushion",28,21,7,7,1,3,,5,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",51,"open",28,21,18,10,,,1,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",52,"cushion",31,34,41,3,3,,,,2,,1,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",52,"open",31,34,7,17,11,,,,1,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",53,"cushion",27,32,37,1,3,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",53,"open",27,32,13,2,,,,,1,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",54,"cushion",49,51,36,10,38,,,,,4,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",54,"open",49,51,,27,122,,2,,2,3,3,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",55,"cushion",29,27,25,,1,,9,,,,,3,,,1,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",55,"open",29,27,85,10,,,,,,,1,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",56,"cushion",36,35,60,5,,,10,1,3,,,,,4,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",56,"open",36,35,75,4,,,5,,,,3,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",57,"cushion",34,36,46,7,,,12,4,,,1,,,3,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",57,"open",34,36,66,15,,,,,,,2,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",58,"cushion",26,26,35,,,2,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",58,"open",26,26,25,2,,,,,1,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",59,"cushion",36,21,36,7,,,,,,,3,,1,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",59,"open",36,21,14,7,,,2,,,,3,,1,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",60,"cushion",24,27,18,7,,,,1,1,,,,2,,1,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",60,"open",24,27,26,3,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",61,"cushion",26,28,25,5,,1,,,,,1,,,2,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",61,"open",26,28,14,1,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",62,"cushion",27,30,11,6,2,,,,4,,,1,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",62,"open",27,30,23,9,,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",63,"cushion",24,26,4,7,,,37,,,,,,2,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",63,"open",24,26,3,2,,,,,,,2,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",64,"cushion",32,20,8,12,,,,,1,1,,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",64,"open",32,20,8,7,,,1,,,,,,,,1,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",65,"cushion",29,34,12,13,,3,,,3,,,,,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",65,"open",29,34,12,5,,,,,1,1,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",66,"cushion",29,28,12,1,,,,1,1,2,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",66,"open",29,28,9,1,1,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",67,"cushion",29,25,19,3,,,8,,1,,,,1,1,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",67,"open",29,25,18,,2,,,,,,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",68,"cushion",29,22,5,4,,,,,5,1,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",68,"open",29,22,31,1,,,,,,2,,,,,,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",69,"cushion",21,25,19,4,2,2,9,,4,,1,,,3,,17,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",69,"open",21,25,12,,,,1,,2,,3,,,,1,,
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",70,"cushion",44,19,26,2,,,,5,2,,2,,,4,,,2
84,"Qilian Shan","Rhodiola juparensis (Frod.) S.H.Fu ",70,"open",44,19,15,1,,,1,,,1,2,,,,,,
