Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Area cm2,Acronema sp,Anaphalis contorta,Androsaceae sermentosa,Arasaema jaqmontii,Artimisia gmelinii,Aster himailacus,Avena fatua,Bistorta vivipara,Calamogrostis pseudophragmites,Carex sp,Cortia depressa,Cyananthus himalaicus,Cyananthus microphyllus,Cyperus sp,Deyeuxia scabrescens,Dubyaea hispida,Elsholtzia eriostachya,Ephedra gerardiana,Epilobium cylindricum,Eritrichium nanum,Euphorbia stracheyi,Gentiana depressa,Gentiana ornata,Gentianella falcata,Geranium donianum,Grebera nivea,Herminium macrophyllum,Juncus thomsonii,Lentopodium jocacianum,Morane nepalensis,Neottianthe calcicola,Nepeta lamiopsis,Parnesia nubicola,Pedicularis roylei,Pedicularis siphonantha,Polygonatum sp,Potentilla microphylla,Potentilla multifida,Potentilla sp,Rhodiola fastigiata,Saxifraga brachypoda,Saxifraga moorcroftiana,Sedum sp,Silene gonosperma ssp himalayensis,Stellaria patens,Swertia ciliata,Thallictrum alpinum,Themeda trianda,Veronica ciliata,Veronica himailaica,Veronica sp,Viola biflora,Botrychium lunaria,Paraceterach marantae,Pteridophyte
85,"Langtang-Kyanngjing Valley","Astragalus sp.",40,"Cushion",85,40,3400,,45,57,,,,,,26,,,,2,9,16,,,,,4,,,,,,2,,,6,,,,,5,,,,1,,,2,16,,,11,,,,,1,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",40,"Open",,,3400.49,,25,8,,,,,,8,,,,19,20,19,,,,,9,,,,,,2,15,,,,,,,2,,,,1,,,3,7,,,,1,,7,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",41,"Cushion",36,36,1017.876,,18,19,,,,,,26,,,7,8,5,4,,,,,12,,,,,,,7,,,,,,,3,,,,,,,,5,1,,,,,3,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",41,"Open",,,1017.876,,,20,,,,,,7,,,,,31,4,,,,,,,,,,,3,12,,,,,,7,2,,,,,,,,9,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",42,"Cushion",34,30,1020,,,29,,,,,,20,,,,19,23,8,,,,,,,,,,,1,,,21,,,,3,,,,,,,,4,12,,,,,,9,,1,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",42,"Open",,,1029.22,,,11,,,,,,8,,,,,13,17,,,,,,,,,,,1,,,,,,,9,,,,,,,,,22,1,,,,,,,,5,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",43,"Cushion",73,61,4453,3,3,14,,3,,,,10,,,,,7,24,,38,,,27,,,,,,,,,,,,,,,,,,,,10,,19,5,2,,,,5,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",43,"Open",,,4465.11,,,9,,3,,,,12,,,,,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,6,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",44,"Cushion",103,30,3090,,13,21,,,3,,,35,,,,,42,12,,,,,,,45,,,,2,,,,,,,,,,,,3,,,,6,4,2,26,,,17,1,2,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",44,"Open",,,3097.48,,28,6,,,,,,15,,,,,,11,,,,,14,,,,,,,,,1,,,,,4,,,,,,,,1,,3,,1,,9,2,2,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",45,"Cushion",60,38,2280,,,15,,,3,,,21,,,3,,5,18,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",45,"Open",,,2290.22,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",46,"Cushion",88,32.5,2860,,16,,,,11,,,3,,,,,8,13,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,6,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",46,"Open",,,2860,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",47,"Cushion",75,38,2850,,3,21,,,5,,,28,,,,,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,4,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",47,"Open",,,2865.25,,13,,,,,,,,,,,,19,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",48,"Cushion",66,47,3102,,106,39,,,,,,22,,,,,9,16,14,,,,,,,,,,2,,,,,,,,,,,,,,,,9,,3,,,,8,4,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",48,"Open",,,3117.245,,,13,,,,,,16,,,,31,17,,5,,,,,,,,,,,,,38,,,,14,,,,,1,,,,18,,,,,,,11,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",49,"Cushion",50,60,3000,,15,7,,,,,,27,,,,2,21,9,,,,,4,,,,,,,,,25,,,,2,2,,,,,,,2,7,,1,,2,,4,2,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",49,"Open",,,3000,,24,22,,,,,,25,,,,8,35,11,4,,,,3,,,,,,,,,11,,,,16,2,,,,1,,,1,15,,6,,,,4,,,2,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",50,"Cushion",90,28,2520,2,26,6,,,1,2,,25,,,,10,13,36,,,,,,,,,,,,,1,,,,,5,,,,,1,,,6,14,,1,,,,1,5,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",50,"Open",,,2533.88,,8,32,,,,,,17,,,,,13,15,,,,,9,,,,,,,,,19,,,,47,,,,,,,,7,13,,,,,,5,,1,1,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",51,"Cushion",54,25,1350,,6,11,,,,,,48,,,,,14,40,2,,,,,,,,,,,,,43,,,,4,,,,,,,,3,7,7,,,,,11,1,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",51,"Open",,,1359.178,,,6,,,,,,32,,,,28,21,9,,,,,,,,,,,,,,13,,,,17,,,,,,,,1,7,,,,1,,3,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",52,"Cushion",69,75,5175,,47,22,,,,5,,16,,,,,30,15,14,,,,,,,,,,,,,19,,,,,,,,,2,,,,18,,1,,,,11,5,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",52,"Open",,,5178.475,,,5,,,,,,19,,,,,25,19,11,,,1,,,2,,,,,,,68,,,,,1,,,,,,,,18,,3,,,,,1,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",53,"Cushion",50,27,1350,1,38,11,,,,,,58,,,,,,15,3,,,,2,,,,,,,,,3,,,,,,,,,2,,,,11,,3,,,,2,6,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",53,"Open",,,1359.18,,,6,,,,,,22,5,,,,,22,,,,,4,,,,,,,,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",54,"Cushion",57,35,1995,,8,27,,,,,,47,,,,,7,35,,,,,4,,18,,2,,,12,,,,,,,,,5,,,,,7,11,4,,,3,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",54,"Open",,,1995.037,,10,5,,,,,,23,,,,10,5,13,3,,,,,,29,,,,,,,16,,,,6,,,,,,,,,5,3,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",55,"Cushion",96,65,6240,,22,23,,,,,,41,,,,2,25,36,3,,,,,,97,,,,2,15,7,5,,,,9,,,,,1,,,,19,,3,,,,4,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",55,"Open",,,6249.13,,23,23,,,,,,44,,,,6,18,26,,,,,,,106,,,,6,4,23,77,,,,29,,,,,5,,,16,43,,,,1,,6,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",56,"Cushion",120,76,9120,,24,37,,,,9,,12,18,,10,,67,101,27,,,,,,45,,,,7,,,36,,1,,28,,,3,,,,,,9,2,5,,,,,3,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",56,"Open",,,9126.986,,,,,,,,,21,,,21,,76,57,39,58,,,,,,,8,,7,,,53,,,,50,2,,,,,,,,68,,,,,,,2,,12,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",57,"Cushion",86,50,4300,,,72,,,,4,,17,,,9,,59,29,5,3,,,5,,3,,,,10,,,22,,,,,,,1,,,,,,,,2,,,,13,2,,3,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",57,"Open",,,4300.84,,33,,,,,,,11,,,6,,53,28,,4,,,,,,,,,4,,,57,,,,14,1,,,,,,,,27,,,,,,,1,5,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",58,"Cushion",54,47,2538,,40,,,,,,,,,,,,14,11,6,,,,,,,,,,5,,,,,,,,1,,,,,,,,8,,5,,,,9,1,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",58,"Open",,,2551.76,,36,,,,,,,6,,,3,,30,8,11,8,,,,,9,,2,,2,,,,,,,9,3,,,,,,,,29,,3,,,,,,3,9,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",59,"Cushion",53,39,2067,,,,,,,5,,,,,,,24,20,3,,,,,,,,,,2,,,58,,,,3,,,,,,,,,5,,2,,,,2,6,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",59,"Open",,,2074.99,,8,,,,,,,,,,,,41,12,8,,,,,,,,,,4,,,,,,,7,9,,,,4,,,,25,,,,,,,2,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",60,"Cushion",70,62,4340,,59,,,9,,,,27,,,,,29,35,4,,,,,,14,,,,4,,,32,,,,,,,,,,,,,,,10,,,,7,4,,1,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",60,"Open",,,4347.46,,,,,,,,,7,,,,,37,28,8,4,4,,,,55,,,,3,,,40,,,,3,,,31,,,,,,7,,,,,,4,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",61,"Cushion",74,64,4736,,38,,,,,,,30,,,,,9,40,4,,,,,,13,,,,2,,,32,,,,2,,,,,,,,,2,5,4,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",61,"Open",,,4753.88,,50,,,,,,,16,,,,,15,9,3,,,,,,48,,,,,,,27,,,,2,,,3,,,,,,5,,7,,,,,1,,1,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",62,"Cushion",63,44,2772,,32,,,,,,,50,,,,,20,33,8,,,,,,,,,,2,,,5,,,,7,,,,,,,,,9,,3,,,,16,,9,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",62,"Open",,,2772,,12,,,,,,,17,,,,,,29,5,,2,,,,,,,,,,,,,,,,,,,,,,,,1,8,3,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",63,"Cushion",72,31,2232,,,,,,,,,21,,,,,12,45,,,,,,,,,,,,,,52,,,,5,2,,,,,,,,22,,5,,,,8,2,1,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",63,"Open",,,2239.6,,9,,,,,,,27,,,,,1,11,9,,11,,,,,,2,,1,,,,,,,,,,,,,,,,,2,2,,,1,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",64,"Cushion",75,48,3600,3,,,,,,,,20,,,,,27,19,15,,,,,,5,,,,4,,,43,,,,,,,,,2,,,,9,,,,,,12,7,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",64,"Open",,,3610.349,,,4,,,,,,1,,,,,54,,,160,,,,,2,,,,,,,,,,,49,,,,,,,,,9,12,,,,,,5,,3,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",65,"Cushion",64,64,3216.99,,,,,,,,,,17,,,,12,11,,12,,,5,,,,,,,,,15,,,,,,,2,,,,,,14,1,,,,,,8,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",65,"Open",,,3216.99,,,,,,,,,,,,,,30,,,169,,,,,,,,,,,,,,,,22,,,,,,,,,1,,,,,,,3,,3,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",66,"Cushion",128,110,14080,,,,,,,12,,23,5,1,,,35,19,25,,,,,,,,,,3,,,15,,,,9,,,16,,,,3,,,30,,,,,22,3,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",66,"Open",,,14102.6,,,,,,,,,20,,1,,,,11,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,11,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",67,"Cushion",73,54,3942,,8,,,,,,,31,,,,,9,,,7,,,5,,,,,,,,,,,,,,,,,,,,,,17,3,22,,,,,4,,1,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",67,"Open",,,3959.19,,5,,,,,,,,,,,,,,,16,,,1,,,,,,,,,,,,,,,,,,2,,,,,5,1,,,,,,,7,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",68,"Cushion",70,94,6580,,25,,,,,,,37,12,,,,32,7,,,,,,,,,4,,,,,39,,,,,1,,,,,,,,20,,9,,,,15,7,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",68,"Open",,,6589.93,,,,,,,,,,,,,,60,,,29,,,,,,,,,,,,,,,,,,,,,,,,18,9,12,,,,,,2,,,,,,1
85,"Langtang-Kyanngjing Valley","Astragalus sp.",69,"Cushion",71,66,4686,,17,,,,,,,10,,,,,25,,,19,,,6,,,,,,,,,,,,,,5,,,,,,7,,9,12,1,,,,,,,8,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",69,"Open",,,4705.13,,4,,,,,,,,,,,,59,,,85,,,,,,,,,,,,,,,,5,,,,,,,,,13,,7,,,,,,,12,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",70,"Cushion",70,50,3500,,,24,,,,,,21,12,,9,,140,70,5,,,,,,,,,,,,,60,,,,50,,,1,,,,,,7,,,,,4,,2,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",70,"Open",,,3525.65,,,,,,,,,16,,,,,70,14,14,11,,,,,44,,,,,,,34,,,,64,,,5,,,,,5,21,,,,,,,,,4,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",71,"Cushion",80,60,4800,,12,75,,,,,,27,,,,,75,19,7,,,,,,12,,,,3,3,,5,,,,,,,,25,4,,,,10,12,,,,5,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",71,"Open",,,4802.898,,11,26,,,,,,23,,,,,72,15,6,,9,,6,,4,,,,1,,,39,,,,35,,,23,17,4,,,,9,,,,2,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",72,"Cushion",50,28,1400,,34,11,,,,,,25,,,,,48,14,,,,,,17,,,,,,,,15,,,,7,,,1,,,,,,13,,2,,,,,2,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",72,"Open",,,1411.95,,,,,,,,,30,,,,,40,21,5,10,,,,,1,,,,,,,29,,,,5,,,2,,2,,,,3,,,,,3,,4,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",73,"Cushion",68,26,1768,,,,,,,,,40,,,7,,12,46,3,,,,,,,15,,,,,,15,,,,27,,,2,,11,,,,5,2,,,,5,,6,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",73,"Open",,,1789.52,,,,,,,,,11,,,3,,56,,9,20,,,,,,,,,1,,,2,,,,7,,,3,,7,,,,19,,,,,,,13,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",74,"Cushion",64,31,1984,,,19,18,,,,2,35,,,5,,30,18,6,,,,,,,,,2,5,,,12,,,,,,4,,,,,,,,3,,,,,,3,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",74,"Open",,,1995.036,,1,,9,,,,,6,,,4,,30,13,5,7,,,,,,,,,3,,,15,,,,17,,,2,,,,,,7,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",75,"Cushion",110,60,6600,,20,21,,5,,,7,61,,,,,63,18,14,,,,9,12,5,,,,3,,,45,,,,,,,,,7,,,,9,3,,,4,,7,4,,6,,1,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",75,"Open",,,6618.73,,9,,,,,,,70,,,30,,63,24,2,15,,,2,,,,,,2,,,47,2,,,1,,,,28,6,,,29,2,,,,,,,5,,3,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",76,"Cushion",50,31,1550,,34,11,,,,,,25,,,,,48,14,,,,,,21,,,,,,,,15,,,,7,,,1,,7,,,,13,,2,,,5,,2,,,,3,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",76,"Open",,,1550,,,,,,,,,18,,,,,40,21,5,5,,,,,1,,,,,,,29,,,,5,,,2,,2,,,,3,,,,,2,,4,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",77,"Cushion",40.8,60.1,2452.08,,14,13,,,,,1,21,,,11,,17,35,,,,,11,,12,,12,3,,3,,14,,,,11,,,,,9,,,17,23,,,,,2,,,2,,,1,1,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",77,"Open",,,2452.08,,8,7,,,,,,6,,,18,,25,54,,,,,,,2,,,,,,,,,,,10,,,,,3,2,,6,28,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",78,"Cushion",29.4,29.4,678.866,,1,3,,,,,,11,,,14,,,,,,,,,,,,,,,,,,,,,7,,,,,3,,,1,9,,5,,,1,,,,,25,1,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",78,"Open",,,678.866,,,,,,,,,14,,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,,,3,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",79,"Cushion",71.6,32.7,2341.32,,2,11,,,5,,,18,,,,,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",79,"Open",,,2341.32,,9,,,,,,,,,,,,19,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",80,"Cushion",55.8,46.3,2583.54,1,,43,,,,,,,,,,,24,11,6,1,,,,,,,,,4,,,,,1,,,1,,,,,,,,8,,5,,,,9,,,,,1,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",80,"Open",,,2583.54,,,39,,,,,,4,,,3,,35,8,9,8,,,,,8,,2,,2,,,,,,,11,3,,,,,2,,,21,,3,,,,,,3,9,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",81,"Cushion",54.2,40,2168,4,,,7,,,3,,40,,,7,,12,46,3,,,,,,,13,,,,,,11,,,,17,,,2,,11,,,,15,2,,,,5,,6,,,,2,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",81,"Open",,,2168,,,,,,,,,11,,,3,,56,,9,20,,,,,,,,,1,,,2,,,,7,,,3,,7,,,,19,,,,,,,13,,,,,,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",82,"Cushion",58.3,45.1,2629.33,2,58,,,,,7,,82,,,,,45,17,9,,,4,,,,3,,,5,3,,13,,,,,,,,,,,,,15,14,,7,2,,,,,,5,,2,
85,"Langtang-Kyanngjing Valley","Astragalus sp.",82,"Open",,,2629.33,,,,,,,,,,,,1,,89,12,15,47,,,1,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,
