dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Arabis,Brassicaceae,Draba,Draba red,Festuca,Poa alpina,Polygonum,Ranunculus,Saxifraga,Silene,Hutchinsia alpina,Minuartia
93,"Dolomites 4","Cerastium alpinum",1,"cushion",34,30,,,2,,1,10,,,,,1,1
93,"Dolomites 4","Cerastium alpinum",2,"cushion",31,38,,,1,,,17,,2,,,2,
93,"Dolomites 4","Cerastium alpinum",3,"cushion",25,25,,,1,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",4,"cushion",21,11,,,,,,4,,3,,,,
93,"Dolomites 4","Cerastium alpinum",5,"cushion",22,24,,,,,,,,1,,,1,
93,"Dolomites 4","Cerastium alpinum",6,"cushion",35,20,,,1,,,2,1,,,,,
93,"Dolomites 4","Cerastium alpinum",7,"cushion",26,27,,,,,1,4,,,,,,1
93,"Dolomites 4","Cerastium alpinum",8,"cushion",33,24,,,,,,,,,2,,,1
93,"Dolomites 4","Cerastium alpinum",9,"cushion",19,19,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",10,"cushion",24,27,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",11,"cushion",27,28,,,,,1,7,,8,,,1,
93,"Dolomites 4","Cerastium alpinum",12,"cushion",22,23,,,1,,1,,,,,,1,
93,"Dolomites 4","Cerastium alpinum",13,"cushion",23,20,,,,,1,2,,1,1,,,
93,"Dolomites 4","Cerastium alpinum",14,"cushion",41,24,,,,,,,,,2,,2,
93,"Dolomites 4","Cerastium alpinum",15,"cushion",24,20,,,,,,1,,,,,1,
93,"Dolomites 4","Cerastium alpinum",16,"cushion",38,33,,,1,,,25,,,4,,,
93,"Dolomites 4","Cerastium alpinum",17,"cushion",26,25,,,,,1,16,,,,,,2
93,"Dolomites 4","Cerastium alpinum",18,"cushion",15,13,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",19,"cushion",30,28,,,,,,3,,1,,1,,
93,"Dolomites 4","Cerastium alpinum",20,"cushion",24,12,,,,,,1,,,,,,1
93,"Dolomites 4","Cerastium alpinum",22,"cushion",18,21,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",23,"cushion",14,17,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",24,"cushion",39,12,,,2,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",25,"cushion",11,13,,,,,,11,,,,,,
93,"Dolomites 4","Cerastium alpinum",26,"cushion",30,20,,,,,,9,,,,,,
93,"Dolomites 4","Cerastium alpinum",27,"cushion",21,15,,,1,,,6,,,2,,,
93,"Dolomites 4","Cerastium alpinum",28,"cushion",20,20,,,,,,8,,,,,,
93,"Dolomites 4","Cerastium alpinum",29,"cushion",22,23,,,1,,,19,,2,,,,
93,"Dolomites 4","Cerastium alpinum",30,"cushion",20,20,,,1,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",31,"cushion",16,12,,,,,,7,,,,,,
93,"Dolomites 4","Cerastium alpinum",32,"cushion",15,18,,,,,,7,,,,,1,
93,"Dolomites 4","Cerastium alpinum",33,"cushion",27,28,,,,,1,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",34,"cushion",26,21,,,,,,9,,,1,,,
93,"Dolomites 4","Cerastium alpinum",35,"cushion",29,14,,,,,,8,,,1,,,
93,"Dolomites 4","Cerastium alpinum",36,"cushion",26,27,,,,1,,11,,,1,,1,
93,"Dolomites 4","Cerastium alpinum",37,"cushion",19,14,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",38,"cushion",16,16,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",39,"cushion",19,10,,,2,,,4,,1,1,,,
93,"Dolomites 4","Cerastium alpinum",41,"cushion",48,18,,,,,1,10,,,1,,,
93,"Dolomites 4","Cerastium alpinum",43,"cushion",19,17,,2,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",44,"cushion",25,21,,,1,,,5,1,,2,,1,
93,"Dolomites 4","Cerastium alpinum",45,"cushion",30,30,,,,,1,6,,,,,,
93,"Dolomites 4","Cerastium alpinum",46,"cushion",19,18,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",47,"cushion",36,22,,,,,1,8,,,,,5,1
93,"Dolomites 4","Cerastium alpinum",48,"cushion",25,25,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",49,"cushion",21,20,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",50,"cushion",22,23,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",51,"cushion",18,14,,,,,,6,,,,,,
93,"Dolomites 4","Cerastium alpinum",52,"cushion",27,22,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",53,"cushion",28,27,,,,,,12,,,,,,
93,"Dolomites 4","Cerastium alpinum",54,"cushion",23,26,,,,,,10,,,1,,,
93,"Dolomites 4","Cerastium alpinum",55,"cushion",48,20,,,,,,8,,,,,2,1
93,"Dolomites 4","Cerastium alpinum",56,"cushion",23,19,,,,,,,,,1,,1,
93,"Dolomites 4","Cerastium alpinum",57,"cushion",26,23,,,1,,,7,,,3,,,
93,"Dolomites 4","Cerastium alpinum",58,"cushion",28,18,,,3,,1,10,,1,2,,,
93,"Dolomites 4","Cerastium alpinum",59,"cushion",27,27,,,1,,1,14,,,2,,,
93,"Dolomites 4","Cerastium alpinum",60,"cushion",15,32,,,,,,9,,,,,1,
93,"Dolomites 4","Cerastium alpinum",62,"cushion",23,19,,,,,,23,,,,,,
93,"Dolomites 4","Cerastium alpinum",63,"cushion",16,15,,,,,,7,,,,,,1
93,"Dolomites 4","Cerastium alpinum",64,"cushion",23,20,,,,,,14,,,,,,
93,"Dolomites 4","Cerastium alpinum",65,"cushion",16,14,,,,,,6,,,,,,
93,"Dolomites 4","Cerastium alpinum",66,"cushion",27,20,,,,,,13,,1,,,,
93,"Dolomites 4","Cerastium alpinum",67,"cushion",20,24,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",68,"cushion",18,19,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",69,"cushion",20,16,,,1,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",70,"cushion",16,14,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",71,"cushion",30,23,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",72,"cushion",25,17,,,,,1,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",73,"cushion",40,20,,,1,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",74,"cushion",20,17,,,,,,1,,,,,4,
93,"Dolomites 4","Cerastium alpinum",75,"cushion",25,21,,,1,,,2,,,1,,,
93,"Dolomites 4","Cerastium alpinum",76,"cushion",20,28,,,,,,6,,,,,1,
93,"Dolomites 4","Cerastium alpinum",77,"cushion",22,18,,,,,,,,,,,1,
93,"Dolomites 4","Cerastium alpinum",78,"cushion",23,18,,,,,,3,,,,,2,
93,"Dolomites 4","Cerastium alpinum",79,"cushion",31,24,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",80,"cushion",21,15,,,,,,5,,,,,,
93,"Dolomites 4","Cerastium alpinum",81,"cushion",18,15,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",82,"cushion",35,19,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",83,"cushion",20,12,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",84,"cushion",30,35,,,,,,2,,,1,,1,
93,"Dolomites 4","Cerastium alpinum",85,"cushion",26,14,,,,,,,,,,,1,
93,"Dolomites 4","Cerastium alpinum",86,"cushion",19,16,,,,,,,,,2,,1,
93,"Dolomites 4","Cerastium alpinum",88,"cushion",20,16,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",89,"cushion",30,33,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",90,"cushion",22,20,,,,,,22,,,,,,
93,"Dolomites 4","Cerastium alpinum",91,"cushion",28,21,,,,,,6,,,,,,
93,"Dolomites 4","Cerastium alpinum",1,"open",34,30,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",2,"open",31,38,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",3,"open",25,25,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",4,"open",21,11,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",5,"open",22,24,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",6,"open",35,20,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",7,"open",26,27,,,,,,1,,,,,1,
93,"Dolomites 4","Cerastium alpinum",8,"open",33,24,,,1,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",9,"open",19,19,,,,,,4,,,,,1,
93,"Dolomites 4","Cerastium alpinum",10,"open",24,27,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",11,"open",27,28,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",12,"open",22,23,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",13,"open",23,20,,,2,,,1,,,,,1,
93,"Dolomites 4","Cerastium alpinum",14,"open",41,24,,,,,,1,,,1,,,
93,"Dolomites 4","Cerastium alpinum",15,"open",24,20,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",16,"open",38,33,,,,,,9,,,,,,
93,"Dolomites 4","Cerastium alpinum",17,"open",26,25,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",18,"open",15,13,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",19,"open",30,28,,,,,,1,,,1,,1,
93,"Dolomites 4","Cerastium alpinum",20,"open",24,12,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",21,"open",23,26,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",22,"open",18,21,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",23,"open",14,17,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",24,"open",39,12,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",26,"open",30,20,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",27,"open",21,15,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",28,"open",20,20,,,,,,7,,,,,,
93,"Dolomites 4","Cerastium alpinum",29,"open",22,23,,,1,,,4,,,1,,,
93,"Dolomites 4","Cerastium alpinum",30,"open",20,20,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",31,"open",16,12,,,,,,3,,,,,1,
93,"Dolomites 4","Cerastium alpinum",32,"open",15,18,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",33,"open",27,28,1,,,,,3,,,,,1,
93,"Dolomites 4","Cerastium alpinum",34,"open",26,21,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",35,"open",29,14,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",36,"open",26,27,,,,,,8,,,,,,
93,"Dolomites 4","Cerastium alpinum",37,"open",19,14,,,1,,,,,,,,1,
93,"Dolomites 4","Cerastium alpinum",38,"open",16,16,,,,,,1,,,,,1,
93,"Dolomites 4","Cerastium alpinum",39,"open",19,10,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",40,"open",18,19,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",41,"open",48,18,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",42,"open",22,22,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",43,"open",19,17,,,2,,,5,,,,,,
93,"Dolomites 4","Cerastium alpinum",45,"open",30,30,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",46,"open",19,18,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",47,"open",36,22,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",48,"open",25,25,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",49,"open",21,20,,,,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",50,"open",22,23,,,,,3,4,,,,,1,
93,"Dolomites 4","Cerastium alpinum",51,"open",18,14,,,,,,2,,,,,1,
93,"Dolomites 4","Cerastium alpinum",52,"open",27,22,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",53,"open",28,27,,,,,,5,,,,,,
93,"Dolomites 4","Cerastium alpinum",54,"open",23,26,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",55,"open",48,20,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",56,"open",23,19,,,,,,1,,,1,,3,
93,"Dolomites 4","Cerastium alpinum",57,"open",26,23,,,4,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",58,"open",28,18,,,,,,9,,,2,,1,
93,"Dolomites 4","Cerastium alpinum",59,"open",27,27,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",60,"open",15,32,,,1,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",61,"open",30,21,,,2,,,9,,,,,,
93,"Dolomites 4","Cerastium alpinum",62,"open",23,19,,,1,,,6,,,,,,
93,"Dolomites 4","Cerastium alpinum",63,"open",16,15,,,,,,3,,,,,1,
93,"Dolomites 4","Cerastium alpinum",65,"open",16,14,,,2,,,4,,,,,,
93,"Dolomites 4","Cerastium alpinum",66,"open",27,20,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",67,"open",20,24,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",68,"open",18,19,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",69,"open",20,16,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",70,"open",16,14,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",71,"open",30,23,,,,,,5,,,1,,,
93,"Dolomites 4","Cerastium alpinum",72,"open",25,17,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",73,"open",40,20,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",74,"open",20,17,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",75,"open",25,21,,,,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",76,"open",20,28,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",77,"open",22,18,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",78,"open",23,18,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",79,"open",31,24,,,,,,,,,,,1,
93,"Dolomites 4","Cerastium alpinum",80,"open",21,15,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",81,"open",18,15,,,2,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",82,"open",35,19,,,,,,,,,2,,,
93,"Dolomites 4","Cerastium alpinum",83,"open",20,12,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",84,"open",30,35,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",85,"open",26,14,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",87,"open",20,16,,,,,,1,,,2,,,
93,"Dolomites 4","Cerastium alpinum",88,"open",20,16,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",89,"open",30,33,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",90,"open",22,20,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",91,"open",28,21,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",21,"cushion",23,26,,,,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",42,"cushion",22,22,,,,,,3,,,,,,
93,"Dolomites 4","Cerastium alpinum",61,"cushion",30,21,,,2,,2,9,,,,,,
93,"Dolomites 4","Cerastium alpinum",87,"cushion",20,16,,,1,,,,,,1,,,
93,"Dolomites 4","Cerastium alpinum",25,"open",11,13,,,,,,2,,,,,,
93,"Dolomites 4","Cerastium alpinum",44,"open",25,21,,,,,,7,,,,,,
93,"Dolomites 4","Cerastium alpinum",64,"open",23,20,,,,,,1,,,,,,
93,"Dolomites 4","Cerastium alpinum",86,"open",19,16,,,1,,,,,,,,,
93,"Dolomites 4","Cerastium alpinum",40,"cushion",18,19,,,,,,2,,,1,,1,1
