dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Alchemilla,Arabis hischuta,Arenaria,Botrychium,Campanula,Carex firma,Cerastium,Draba,Festuca,Galium,Helianthemum,Leont,Ligusticum,Linnaria,Oxytrop,Poa,Polygonum viviparum,Pritzelago,Ranunculus,Salix restrata,Salix serpyllfolia,Seslaria,Silene,Thlaspi,Thlaspi 2,Viola
94,"Dolomites 5","Silene acaulis",1,"cushion",90,80,,,,,,,,,8,,,1,,,7,15,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",1,"open",90,80,,,,,,,,,,,,,,,2,1,,,,,,,1,,,
94,"Dolomites 5","Silene acaulis",2,"cushion",27,28,,,,,,,,,1,,,1,,,3,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",2,"open",27,28,,,,,,,,,,,,,,,1,,,,,,,,1,,,
94,"Dolomites 5","Silene acaulis",3,"cushion",33,36,,,,,3,,,,3,,,6,,,2,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",3,"open",33,36,,,,,3,,,,,,,,,,1,,,,,,,,5,,,
94,"Dolomites 5","Silene acaulis",4,"cushion",59,50,,,,,1,,,,32,,,,,,7,11,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",4,"open",59,50,,,,,5,,1,,3,1,,1,,1,1,,,,,,,,1,2,,
94,"Dolomites 5","Silene acaulis",5,"cushion",47,42,,,,1,6,,,1,,4,,2,,,1,6,,,,,,,,,4,
94,"Dolomites 5","Silene acaulis",5,"open",47,42,,,,,1,,,,,,,1,,,,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",6,"cushion",57,50,,,,,8,,,,,4,,,,,,8,1,,,1,,,,,,
94,"Dolomites 5","Silene acaulis",6,"open",57,50,,,1,,11,,,,,,,,,,1,,,,3,,,,,,,
94,"Dolomites 5","Silene acaulis",7,"cushion",48,32,,,,,1,,,2,15,,,6,,,3,,,,1,,,,,,,
94,"Dolomites 5","Silene acaulis",7,"open",48,32,,,,,16,,,,,,,,,,,1,,,2,,,,,,,
94,"Dolomites 5","Silene acaulis",8,"cushion",108,50,,,,,2,,,,34,,,3,,,6,17,12,,,19,,,,,,
94,"Dolomites 5","Silene acaulis",8,"open",108,50,,,3,,12,,,1,3,2,,,,1,1,3,,,3,,,,,,,
94,"Dolomites 5","Silene acaulis",9,"cushion",37,30,,,,,,,,,16,8,,,,,,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",9,"open",37,30,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",10,"cushion",47,42,9,,,,1,,,,6,1,,4,,,,2,5,,,,,,,,,
94,"Dolomites 5","Silene acaulis",10,"open",47,42,,,,,9,,,,,,,,,,,,,,1,,,,,,,
94,"Dolomites 5","Silene acaulis",11,"cushion",30,35,,,,,,,,,,,,,,,2,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",11,"open",30,35,,,,,,,,,,,,,,,1,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",12,"cushion",31,34,3,,,,,,,,3,1,,,,,,1,6,,,1,,,,,,
94,"Dolomites 5","Silene acaulis",12,"open",31,34,,,,,2,,,,,1,,,,,,6,,,,1,,,,1,,
94,"Dolomites 5","Silene acaulis",13,"cushion",68,38,,,2,,3,,,,1,5,,8,,,,10,3,,,,,,,,7,
94,"Dolomites 5","Silene acaulis",13,"open",68,38,,,,,2,,,,,,,11,,,,3,,,,7,,,,1,,
94,"Dolomites 5","Silene acaulis",14,"cushion",118,40,,,1,,17,,,,2,1,,6,,2,,13,,,,6,,,,,,
94,"Dolomites 5","Silene acaulis",14,"open",118,40,,,,,2,,,,,1,,2,,,,4,,,,,,,1,5,,
94,"Dolomites 5","Silene acaulis",15,"cushion",50,25,1,,1,,1,,,1,,,,,,,,4,,,,1,,,,,2,
94,"Dolomites 5","Silene acaulis",15,"open",50,25,,,,,,,,,,,,1,,,,4,,,1,1,,,,2,,
94,"Dolomites 5","Silene acaulis",16,"cushion",50,20,,,,,1,,,,,1,,,,,,4,1,,,1,,,,2,,
94,"Dolomites 5","Silene acaulis",16,"open",50,20,,,,,1,,,,,,,2,,,,3,,,1,7,,,1,,,
94,"Dolomites 5","Silene acaulis",17,"cushion",13,8,,,,,,,,,,,,,,,,3,,,,2,,,,,,
94,"Dolomites 5","Silene acaulis",17,"open",13,8,,,,,,,,,,,,,,,,3,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",18,"cushion",30,25,,,,,11,,,,,,,,,,,1,,,,,,1,,,,
94,"Dolomites 5","Silene acaulis",18,"open",30,25,,,,,4,,,,,,,,,,,1,1,,,,,,,,,
94,"Dolomites 5","Silene acaulis",19,"cushion",35,28,,,,,6,,,,,,,,,,,6,,,,,,3,,,,
94,"Dolomites 5","Silene acaulis",19,"open",35,28,,,,,,,,1,,,,,,,,3,1,,,,,,,,,
94,"Dolomites 5","Silene acaulis",20,"cushion",20,35,,,,,4,,,,,,,,,,,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",20,"open",20,35,,,,,1,,,,,,,,,,,7,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",21,"cushion",40,28,1,,,,6,,,,2,,,3,,,,9,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",21,"open",40,28,,,,,12,,,,,,,,,,,13,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",22,"cushion",49,36,1,,,,5,,,,,3,,9,,,,11,1,,,,,4,,,,
94,"Dolomites 5","Silene acaulis",22,"open",49,36,,,,,4,,,,,,,1,,,,5,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",23,"cushion",42,44,,,,,5,,,,7,,,1,,,,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",23,"open",42,44,,,,,,,,,,,,5,,,,4,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",24,"cushion",71,48,,,,,11,,,,,1,,12,,,,14,,,,,,1,,,,
94,"Dolomites 5","Silene acaulis",24,"open",71,48,,,5,,,,,,,,,4,,,,3,,,,,,,,5,,
94,"Dolomites 5","Silene acaulis",25,"cushion",85,44,,,,,6,,,,,,,1,,,,19,,,,1,,,,,,
94,"Dolomites 5","Silene acaulis",25,"open",85,44,,,,,1,,,,,,,3,,,,2,,,,,,,1,,,
94,"Dolomites 5","Silene acaulis",26,"cushion",22,122,,,,,,,,,,1,,1,,,,,,,,,7,38,,,,6
94,"Dolomites 5","Silene acaulis",26,"open",22,122,,,,,,,,,,1,,3,,,,,,2,,,,,,,,
94,"Dolomites 5","Silene acaulis",27,"cushion",25,20,,,,,,,,,,3,,,,,,,,,,,,,,,2,
94,"Dolomites 5","Silene acaulis",27,"open",25,20,,,,,,,,,,,,2,,,,,,,,,,2,,1,,
94,"Dolomites 5","Silene acaulis",28,"cushion",77,61,,,,,1,,,,49,,,,,,,,,,,,15,2,,,,
94,"Dolomites 5","Silene acaulis",28,"open",77,61,,,,,,,,,1,,,,,,,,,,,,1,1,,,,
94,"Dolomites 5","Silene acaulis",29,"cushion",35,27,,,,,,,,,14,1,,1,,,,,,,,,5,2,,,,
94,"Dolomites 5","Silene acaulis",29,"open",35,27,,,,,,,,,3,1,,,,,,,,,,,1,3,,,,
94,"Dolomites 5","Silene acaulis",30,"cushion",15,28,,,,,,,,,34,1,,,,,,,,,,,4,,,,,
94,"Dolomites 5","Silene acaulis",30,"open",15,28,,,,,8,,,1,,,,,,,,,,,,,1,3,,,,
94,"Dolomites 5","Silene acaulis",31,"cushion",56,42,,,,,7,,,,16,1,,1,,,,,,,,,,2,,3,,
94,"Dolomites 5","Silene acaulis",31,"open",56,42,,,,,,,,,,,,,,,,,,,,,,,,2,,
94,"Dolomites 5","Silene acaulis",32,"cushion",37,23,,,,,2,,,,7,,,,,,,,,,,,2,,,,,
94,"Dolomites 5","Silene acaulis",32,"open",37,23,,,,,,,,,,,,,,,,,,,,,,,,6,,
94,"Dolomites 5","Silene acaulis",33,"cushion",53,44,,,,,,,,,35,,,,,,,,,,,,1,4,,,2,
94,"Dolomites 5","Silene acaulis",33,"open",53,44,,,,,,,,,,,,,,,,,,,,,,,,,16,
94,"Dolomites 5","Silene acaulis",34,"cushion",103,58,,,,,,,,,83,2,,,,,,,,,,,,13,,,,
94,"Dolomites 5","Silene acaulis",34,"open",103,58,,,,,,,,,,,,,,,,,,,,,,,,5,8,
94,"Dolomites 5","Silene acaulis",35,"cushion",55,23,,,,,,,,,5,17,,2,,,,13,,,,,,3,,,4,
94,"Dolomites 5","Silene acaulis",35,"open",55,23,,,,,,,,,,1,,2,,,2,9,,,,,,,,,4,
94,"Dolomites 5","Silene acaulis",36,"cushion",18,19,,,,,,,,,,4,,,,,,,,,,,,,,1,1,
94,"Dolomites 5","Silene acaulis",36,"open",18,19,,,,,,,,,,,,3,,,,2,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",37,"cushion",33,37,,,,,,,,,2,6,,,,,2,4,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",37,"open",33,37,,,,,,,,,,,,3,,,,4,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",38,"cushion",46,41,,,,,,,,,,5,,1,,,,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",38,"open",46,41,,,,,,,,,,,,,,,1,4,,,,,,1,,,,
94,"Dolomites 5","Silene acaulis",39,"cushion",40,41,,,,,,,,,9,3,2,,,,2,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",39,"open",40,41,,,,,,,,,3,,,,,,2,,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",40,"cushion",67,39,,,,,,,,,42,9,27,1,,,10,,,,,,2,,,,,
94,"Dolomites 5","Silene acaulis",40,"open",67,39,,,,,,,,,,,,1,,,,7,,,,,4,,,,,
94,"Dolomites 5","Silene acaulis",41,"cushion",35,30,,,,,,,,,,,,,,,3,,1,,,,,,,,,
94,"Dolomites 5","Silene acaulis",41,"open",35,30,,,,,,,,,5,,,,,,,,2,,,,,,,,,
94,"Dolomites 5","Silene acaulis",42,"cushion",47,15,,,,,,1,,,25,2,,,,,,,,,,,1,,,,,
94,"Dolomites 5","Silene acaulis",42,"open",47,15,,,,,,,,,2,,,,,,1,,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",43,"cushion",45,57,,,,,,,,,34,2,56,1,,,1,,,,,,3,,,,,
94,"Dolomites 5","Silene acaulis",43,"open",45,57,,,,,,,,,,,1,,,,2,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",44,"cushion",37,26,,,,,,,,,20,,,,,,1,,,,,,4,25,,,,
94,"Dolomites 5","Silene acaulis",44,"open",37,26,,,,,,,,,,,,,,,,,,,,,1,,,1,,
94,"Dolomites 5","Silene acaulis",45,"cushion",63,66,,,,,,,,,,,,,,,1,,,,,,,4,,,,
94,"Dolomites 5","Silene acaulis",45,"open",63,66,,,,,,,,,,,,,,,1,,,,,,,1,,6,,1
94,"Dolomites 5","Silene acaulis",46,"cushion",23,15,,,,,2,,,,,,,,,,,7,,,,,,3,,,,
94,"Dolomites 5","Silene acaulis",46,"open",23,15,,,,,,,,,,,,2,,,,4,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",47,"cushion",66,36,,,,,2,,,,2,,,2,,,,21,,,,,,9,,,5,
94,"Dolomites 5","Silene acaulis",47,"open",66,36,,,,,6,,,,1,,,,,,,6,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",48,"cushion",72,50,,1,,,1,,,,7,,,1,,3,,29,,,,,,7,,2,,
94,"Dolomites 5","Silene acaulis",48,"open",72,50,,,,,,,,,1,,,5,,,,4,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",49,"cushion",35,39,,,,,1,,,,,,,1,,,,18,,,,,,2,,,6,
94,"Dolomites 5","Silene acaulis",49,"open",35,39,,,,,,,,,,,,2,,,,7,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",50,"cushion",47,22,,,,,4,,,,,,,3,,,,8,,,,,,2,,,,
94,"Dolomites 5","Silene acaulis",50,"open",47,22,,,,,,,,,,,,5,,,,3,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",51,"cushion",26,16,,,,,1,,,,,1,,,,,,,8,,,,,1,,,,
94,"Dolomites 5","Silene acaulis",51,"open",26,16,,,,,1,,,,,,,,,,,1,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",52,"cushion",28,22,8,,,,1,,,,6,,,,,,,,8,,,,,,,,,
94,"Dolomites 5","Silene acaulis",52,"open",28,22,,,,,3,,,,,,,,,,,,,,,,,2,,1,,
94,"Dolomites 5","Silene acaulis",53,"cushion",50,36,,,,,4,,,,36,4,,,3,,1,5,14,,,,,,,3,,
94,"Dolomites 5","Silene acaulis",53,"open",50,36,,,,,,,,,,,,,,,,5,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",54,"cushion",17,14,,,,,,,,,,,,,,,,15,,,,,,,,1,,
94,"Dolomites 5","Silene acaulis",54,"open",17,14,,,,,,,,,,,,,,,,3,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",55,"cushion",93,53,,,,,1,,,,25,4,,2,,,,1,,,4,,,,,,,
94,"Dolomites 5","Silene acaulis",55,"open",93,53,,,,,2,,,,,,,,,,,9,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",56,"cushion",23,13,,,,,2,,,,,,,,,,,15,,,,,,3,,,1,
94,"Dolomites 5","Silene acaulis",56,"open",23,13,,,,,,,,,,,,1,,,,5,,,2,,,,,,,
94,"Dolomites 5","Silene acaulis",57,"cushion",80,47,,,,,1,,,,80,45,,4,,,,4,,,,,,3,,,,
94,"Dolomites 5","Silene acaulis",57,"open",80,47,,,,,,,,,,,,7,,,,,,,2,,,,,,,7
